ORF	hom | genome instability (colony sectoring) | standard | None | Andersen MP~Gottschling DE, 2008
YDR226W	16.604
YCR082W	1.089
YLR423C	3.530
YGR261C	1.317
YMR116C	1.625
YJL115W	16.474
YGR282C	2.004
YNR058W	0.807
YBR290W	1.851
YAL021C	23.338
YGL003C	7.857
YDR254W	3.319
YPR120C	8.837
YIL111W	1.003
YCR086W	119.193
YMR048W	5.089
YPL018W	11.860
YML112W	3.325
YBR291C	2.176
YCL016C	96.390
YBR278W	19.887
YDL101C	69.032
YGR271C-A	0.484
YOR144C	7.701
YCR028C	10.157
YBR269C	1.789
YNR060W	0.831
YBR020W	1.216
YML094W	11.361
YEL046C	22.394
YPR008W	1.810
YJR069C	2.098
YCR065W	10.627
YDL013W	45.502
YJL092W	0.272
YGL168W	8.666
YNR072W	1.145
YIL090W	20.986
YLR052W	2.615
YOL081W	3.812
YPL017C	1.981
YNL227C	0.662
YMR294W	1.533
YCL005W	1.334
YJL038C	22.836
YDR439W	276.766
YDR318W	16.171
YJR135C	1.728
YPR164W	20.194
YGL087C	1.263
YJR074W	0.123
YMR224C	60.195
YBR282W	7.479
YML128C	0.703
YPR047W	2.775
YBR195C	10.779
YBR119W	0.743
YDL085W	0.834
YDL002C	5.548
YIL038C	1.243
YOR209C	9.441
YKR082W	5.502
YDL116W	18.696
YDR488C	1.038
YML123C	1.627
YBL051C	1.168
YJR043C	28.936
YNR052C	35.415
YCR066W	11.120
YKL113C	35.257
YER162C	3.140
YNL250W	111.699
YER095W	9.709
YGL163C	12.110
YGL058W	21.597
YBR275C	5.750
YPR018W	9.210
YGL250W	4.494
YDR279W	2.476
YNL072W	2.921
YDR156W	5.297
YJL148W	5.209
YIL052C	0.552
YML073C	1.893
YOR293W	1.549
YNL302C	0.620
YBR189W	4.942
YHR031C	42.227
YLR357W	5.149
YLL002W	21.217
YBL058W	125.681
YLR079W	20.527
YHR206W	3.401
YER116C	30.658
YBR194W	0.563
YAL047C	0.571
YDR522C	1.261
YER103W	0.947
YPL106C	1.582
YDR320C	1.297
YOL006C	117.183
YHR134W	22.183
YDR369C	145.722
YDR239C	0.682
YGL146C	1.314
YJL055W	0.731
YJL147C	1.082
YKR096W	1.392
YNL010W	1.175
YNL157W	1.062
YPL014W	0.857
YPR084W	0.786
YNL237W	1.980
YJR099W	0.807
