D191_A	Average brightness of nucleus in unbudded cells with single nucleus
D193_A1B	Average brightness of nucleus in budded cells with single nucleus in mother cell or at bud neck
D193_C	Average brightness of nucleus in budded cells with nuclei in both mother and daughter cells
D192_C	Average brightness of nucleus in daughter in budded cells with nuclei in both mother and daughter cells
D191_C	Average brightness of nucleus in mother in budded cells with nuclei in both mother and daughter cells
A8-1_A	Brightness of the actin region in unbudded cells with single nucleus
D15-1_A	Brightness of the nucleus in unbudded cells with single nucleus
D15-3_A1B	Brightness of the nucleus in budded cells with single nucleus in mother cell or at bud neck
D15-3_C	Brightness of the nucleus in budded cells with nuclei in both mother and daughter cells
D15-2_C	Brightness of the nucleus in the daughter cell in budded cells with nuclei in both mother and daughter cells
D15-1_C	Brightness of the nucleus in the mother cell in budded cells with nuclei in both mother and daughter cells
A8-2_A1B	Brigthness of the actin region in the daughter cell in budded cells with single nucleus in mother cell or at bud neck
A8-2_C	Brigthness of the actin region in the daughter cell in budded cells with nuclei in both mother and daughter cells
A8-1_A1B	Brigthness of the actin region in the mother cell in budded cells with single nucleus in mother cell or at bud neck
A8-1_C	Brigthness of the actin region in the mother cell in budded cells with nuclei in both mother and daughter cells
A102_A1B	Bud actin region ratio to total region in budded cells with single nucleus in mother cell or at bud neck
A102_C	Bud actin region ratio to total region in budded cells with nuclei in both mother and daughter cells
C12-1_A	Circumference of the cell in unbudded cells with single nucleus
C102_A1B	Circumference of the cell in budded cells with single nucleus in mother cell or at bud neck
C102_C	Circumference of the cell in budded cells with nuclei in both mother and daughter cells
C12-2_A1B	Circumference of the daughter cell in budded cells with single nucleus in mother cell or at bud neck
C12-2_C	Circumference of the daughter cell in budded cells with nuclei in both mother and daughter cells
C12-1_A1B	Circumference of the mother cell in budded cells with single nucleus in mother cell or at bud neck
C12-1_C	Circumference of the mother cell in budded cells with nuclei in both mother and daughter cells
C126_A	Difference between the brightest and the darkest points on cell wall in unbudded cells with single nucleus
C126_A1B	Difference between the brightest and the darkest points on cell wall in budded cells with single nucleus in mother cell or at bud neck
C126_C	Difference between the brightest and the darkest points on cell wall in budded cells with nuclei in both mother and daughter cells
C127_A	Difference between the thickest and the thinnest points on cell wall in unbudded cells with single nucleus
C127_A1B	Difference between the thickest and the thinnest points on cell wall in budded cells with single nucleus in mother cell or at bud neck
C127_C	Difference between the thickest and the thinnest points on cell wall in budded cells with nuclei in both mother and daughter cells
C106_A1B	Direction of bud growth in budded cells with single nucleus in mother cell or at bud neck
C106_C	Direction of bud growth in budded cells with nuclei in both mother and daughter cells
C113_A1B	Distance between bud tip and mother long axis through middle point of neck in budded cells with single nucleus in mother cell or at bud neck
C113_C	Distance between bud tip and mother long axis through middle point of neck in budded cells with nuclei in both mother and daughter cells
C128_A1B	Distance between middle point of neck and mother hip in budded cells with single nucleus in mother cell or at bud neck
C128_C	Distance between middle point of neck and mother hip in budded cells with nuclei in both mother and daughter cells
D142_A1B	Distance between nuclear brightest point and mother hip in budded cells with single nucleus in mother cell or at bud neck
D126_A1B	Distance between nuclear gravity center and mother hip in budded cells with single nucleus in mother cell or at bud neck
D141_C	Distance between nuclear brightest point and mother hip in budded cells with nuclei in both mother and daughter cells
D125_C	Distance between nuclear gravity center in mother and mother hip in budded cells with nuclei in both mother and daughter cells
D135_A	Distance between the brightest point of the nucleus and the center of the cell in unbudded cells with single nucleus
