ORF	growth;standard
YAL002W	0.698
YAL004W	0.984
YAL005C	1.024
YAL007C	1.035
YAL008W	1.025
YAL009W	0.933
YAL010C	0.676
YAL011W	0.957
YAL012W	0.614
YAL013W	0.881
YAL014C	1.049
YAL015C	1.046
YAL016C-B	1.034
YAL017W	1.022
YAL018C	0.978
YAL019W	0.942
YAL020C	0.960
YAL021C	0.426
YAL022C	1.010
YAL023C	1.070
YAL024C	0.954
YAL027W	1.003
YAL028W	0.999
YAL029C	1.040
YAL030W	1.031
YAL031C	1.042
YAL034C	1.004
YAL035W	1.018
YAL036C	0.999
YAL037C-A	1.040
YAL037W	0.986
YAL039C	0.634
YAL040C	0.967
YAL042W	1.045
YAL043C-A	0.987
YAL044C	0.705
YAL044W-A	1.060
YAL045C	0.985
YAL046C	0.982
YAL048C	0.904
YAL049C	0.997
YAL051W	1.079
YAL053W	0.991
YAL054C	1.052
YAL055W	0.876
YAL056W	1.088
YAL058C-A	0.966
YAL058W	1.009
YAL059W	1.028
YAL060W	1.006
YAL061W	1.072
YAL062W	1.021
YAL063C	1.103
YAL063C-A	1.161
YAL064C-A	1.021
YAL065C	1.053
YAL066W	1.061
YAL067C	1.020
YAL067W-A	1.055
YAL068C	1.035
YAR002C-A	1.002
YAR002W	1.006
YAR003W	0.856
YAR014C	0.946
YAR015W	0.981
YAR018C	0.962
YAR020C	1.006
YAR023C	1.026
YAR027W	1.105
YAR028W	1.029
YAR029W	0.923
YAR030C	1.004
YAR031W	1.016
YAR033W	1.024
YAR035C-A	0.962
YAR035W	1.026
YAR037W	1.035
YAR040C	1.014
YAR042W	0.985
YAR043C	1.023
YAR044W	0.953
YAR047C	1.059
YAR050W	1.061
YAR061W	1.114
YAR062W	1.032
YAR064W	1.020
YAR068W	1.029
YAR071W	1.021
YAR073W	0.781
YAR075W	0.903
YBL001C	1.020
YBL002W	1.023
YBL003C	1.009
YBL005W	1.009
YBL007C	0.786
YBL008W	0.985
YBL008W-A	1.030
YBL009W	1.017
YBL010C	1.038
YBL011W	0.999
YBL013W	1.016
YBL015W	1.034
YBL017C	0.945
YBL019W	1.063
YBL021C	0.795
YBL022C	0.606
YBL024W	1.029
YBL025W	0.362
YBL027W	0.739
YBL028C	1.034
YBL029C-A	1.052
YBL029W	1.027
YBL031W	0.930
YBL032W	1.022
YBL036C	0.997
YBL037W	0.985
YBL038W	0.374
YBL039C	0.957
YBL039W-B	1.077
YBL042C	0.959
YBL043W	1.035
YBL044W	1.046
YBL045C	0.685
YBL046W	1.074
YBL047C	0.942
YBL048W	1.020
YBL049W	0.992
YBL051C	0.906
YBL052C	1.010
YBL053W	1.044
YBL054W	1.044
YBL055C	1.006
YBL056W	1.008
YBL057C	1.071
YBL058W	0.732
YBL059C-A	0.807
YBL059W	0.978
YBL060W	1.031
YBL061C	1.039
YBL062W	0.985
YBL063W	1.023
YBL064C	1.029
YBL065W	1.057
YBL066C	0.968
YBL067C	1.007
YBL068W	0.994
YBL069W	0.971
YBL070C	1.019
YBL071C	0.984
YBL071C-B	0.647
YBL072C	0.565
YBL075C	1.031
YBL078C	0.884
YBL079W	0.503
YBL080C	0.427
YBL081W	0.990
YBL082C	0.978
YBL083C	0.994
YBL085W	1.044
YBL086C	0.998
YBL087C	0.874
YBL088C	1.027
YBL089W	1.025
YBL090W	0.339
YBL091C	0.993
YBL091C-A	1.006
YBL095W	1.028
YBL096C	1.004
YBL098W	1.002
YBL099W	0.638
YBL100C	0.997
YBL100W-C	1.018
YBL101C	0.988
YBL102W	1.003
YBL103C	0.728
YBL104C	0.918
YBL106C	0.988
YBL107C	1.021
YBL108C-A	1.035
YBL111C	1.024
YBL112C	1.102
YBL113C	1.029
YBR001C	1.005
YBR003W	0.685
YBR005W	1.026
YBR006W	1.014
YBR007C	1.012
YBR008C	0.994
YBR009C	0.922
YBR010W	0.966
YBR012C	1.013
YBR013C	1.030
YBR014C	1.044
YBR015C	1.016
YBR016W	0.989
YBR017C	0.605
YBR018C	1.004
YBR019C	0.994
YBR020W	1.022
YBR021W	0.377
YBR022W	1.068
YBR023C	0.991
YBR024W	1.063
YBR025C	0.879
YBR026C	0.725
YBR027C	1.007
YBR028C	0.978
YBR030W	1.015
YBR031W	0.952
YBR032W	0.980
YBR033W	1.027
YBR034C	0.961
YBR035C	0.349
YBR036C	0.541
YBR037C	0.522
YBR039W	0.467
YBR040W	1.091
YBR041W	1.022
YBR042C	1.026
YBR043C	1.005
YBR044C	0.974
YBR045C	1.030
YBR046C	1.024
YBR047W	1.014
YBR048W	0.709
YBR050C	1.059
YBR051W	1.020
YBR052C	1.009
YBR053C	1.009
YBR054W	1.040
YBR056W	1.081
YBR056W-A	1.007
YBR057C	0.948
YBR058C	1.008
YBR061C	0.288
YBR062C	0.988
YBR063C	1.037
YBR064W	1.005
YBR065C	1.046
YBR066C	1.019
YBR067C	1.003
YBR068C	1.034
YBR069C	1.017
YBR071W	1.078
YBR072C-A	1.024
YBR072W	1.023
YBR073W	1.016
YBR074W	1.001
YBR075W	1.026
YBR076W	0.940
YBR078W	1.132
YBR082C	0.848
YBR083W	1.011
YBR084C-A	0.651
YBR084W	1.054
YBR085C-A	1.021
YBR085W	1.021
YBR086C	0.965
YBR089C-A	0.984
YBR090C	1.021
YBR090C-A	1.029
YBR092C	1.012
YBR093C	1.102
YBR094W	0.943
YBR095C	1.018
YBR096W	1.094
YBR098W	1.013
YBR099C	0.968
YBR100W	0.955
YBR101C	0.783
YBR103W	0.965
YBR104W	1.036
YBR105C	0.974
YBR106W	0.422
YBR107C	1.000
YBR108W	1.011
YBR111C	1.016
YBR111W-A	0.915
YBR112C	0.956
YBR114W	0.978
YBR116C	1.013
YBR117C	1.000
YBR118W	0.914
YBR119W	1.032
YBR120C	0.750
YBR125C	1.041
YBR126C	0.762
YBR127C	0.242
YBR128C	0.986
YBR129C	0.969
YBR130C	1.060
YBR131W	0.835
YBR132C	1.022
YBR133C	1.044
YBR134W	1.063
YBR137W	1.032
YBR138C	1.019
YBR139W	1.003
YBR141C	1.044
YBR145W	1.032
YBR146W	0.540
YBR147W	1.015
YBR148W	1.065
YBR149W	1.051
YBR150C	0.968
YBR151W	1.083
YBR156C	0.766
YBR157C	1.045
YBR158W	1.003
YBR161W	1.017
YBR162C	1.045
YBR162W-A	1.012
YBR164C	0.952
YBR165W	1.008
YBR166C	0.923
YBR168W	0.951
YBR169C	1.006
YBR171W	0.901
YBR172C	0.996
YBR173C	0.528
YBR174C	0.807
YBR175W	0.803
YBR176W	1.038
YBR177C	1.089
YBR178W	1.037
YBR179C	1.114
YBR180W	0.983
YBR181C	0.667
YBR182C	0.991
YBR182C-A	1.048
YBR183W	1.060
YBR184W	1.034
YBR185C	0.945
YBR186W	1.011
YBR187W	1.020
YBR188C	1.029
YBR189W	0.336
YBR194W	0.950
YBR195C	0.924
YBR196C-A	0.846
YBR196C-B	1.030
YBR197C	1.041
YBR199W	1.068
YBR200W	0.715
YBR200W-A	1.019
YBR201W	1.043
YBR203W	1.051
YBR204C	1.017
YBR205W	1.019
YBR206W	1.024
YBR207W	1.048
YBR208C	1.030
YBR210W	0.979
YBR212W	0.991
YBR213W	1.029
YBR214W	1.043
YBR215W	0.977
YBR216C	0.967
YBR217W	0.993
YBR218C	0.998
YBR219C	1.038
YBR220C	1.016
YBR221C	0.947
YBR221W-A	1.076
YBR222C	1.024
YBR223C	1.047
YBR224W	0.876
