ORF	hom | growth (spot assay) | ethanol [10%] | Fujita K~Iwahashi H, 2006	hom | growth (spot assay) | propan-1-ol [4%] | Fujita K~Iwahashi H, 2006	hom | growth (spot assay) | pentan-1-ol [0.5%] | Fujita K~Iwahashi H, 2006
YAL023C	0.000	-1.000	0.000
YAL040C	0.000	-1.000	0.000
YBL006C	-1.000	-1.000	0.000
YBL022C	0.000	-1.000	0.000
YBL024W	0.000	-1.000	0.000
YBL031W	0.000	-1.000	0.000
YBL058W	-1.000	-1.000	-1.000
YBR029C	-1.000	-1.000	0.000
YBR036C	-1.000	0.000	-1.000
YBR127C	-1.000	-1.000	-1.000
YBR173C	-1.000	-1.000	-1.000
YBR179C	-1.000	-1.000	0.000
YBR200W	-1.000	0.000	-1.000
YBR279W	-1.000	-1.000	0.000
YCL007C	-1.000	-1.000	0.000
YCL008C	-1.000	-1.000	0.000
YCL029C	-1.000	-1.000	0.000
YCR020W-B	-1.000	-1.000	-1.000
YCR028C	-1.000	-1.000	0.000
YCR077C	-1.000	-1.000	0.000
YDL013W	-1.000	0.000	0.000
YDL040C	-1.000	0.000	0.000
YDL066W	-1.000	-1.000	0.000
YDL160C	-1.000	0.000	0.000
YDL172C	0.000	0.000	-1.000
YDL173W	0.000	0.000	-1.000
YDL185W	-1.000	-1.000	-1.000
YDL225W	-1.000	-1.000	0.000
YDR007W	-1.000	-1.000	-1.000
YDR008C	-1.000	-1.000	-1.000
YDR017C	-1.000	0.000	0.000
YDR027C	-1.000	-1.000	0.000
YDR069C	-1.000	-1.000	0.000
YDR080W	-1.000	0.000	0.000
YDR129C	-1.000	-1.000	-1.000
YDR138W	-1.000	0.000	-1.000
YDR149C	-1.000	-1.000	0.000
YDR173C	-1.000	-1.000	0.000
YDR207C	-1.000	-1.000	-1.000
YDR264C	-1.000	-1.000	-1.000
YDR293C	-1.000	-1.000	0.000
YDR300C	0.000	-1.000	0.000
YDR354W	-1.000	-1.000	-1.000
YDR359C	-1.000	0.000	0.000
YDR433W	-1.000	0.000	0.000
YDR435C	-1.000	0.000	0.000
YEL003W	-1.000	-1.000	0.000
YEL027W	-1.000	-1.000	-1.000
YEL044W	-1.000	-1.000	0.000
YEL051W	-1.000	-1.000	-1.000
YER005W	-1.000	-1.000	0.000
YER044C	-1.000	0.000	0.000
YER083C	-1.000	-1.000	-1.000
YFL023W	-1.000	0.000	-1.000
YFL028C	-1.000	0.000	0.000
YFR019W	-1.000	-1.000	0.000
YGL058W	-1.000	-1.000	0.000
YGL070C	-1.000	-1.000	0.000
YGL084C	0.000	-1.000	0.000
YGR078C	-1.000	0.000	0.000
YGR105W	-1.000	-1.000	-1.000
YGR135W	-1.000	-1.000	0.000
YGR167W	-1.000	0.000	0.000
YGR188C	-1.000	0.000	0.000
YGR196C	-1.000	-1.000	0.000
YGR200C	-1.000	-1.000	-1.000
YGR229C	-1.000	-1.000	0.000
YGR270W	-1.000	0.000	0.000
YHL009C	-1.000	-1.000	0.000
YHR008C	-1.000	-1.000	0.000
YHR013C	-1.000	-1.000	-1.000
YHR026W	-1.000	-1.000	-1.000
YHR030C	-1.000	-1.000	0.000
YHR039C-A	-1.000	0.000	-1.000
YHR041C	-1.000	0.000	0.000
YHR167W	-1.000	-1.000	0.000
YHR178W	0.000	0.000	-1.000
YHR183W	0.000	-1.000	-1.000
YIL036W	-1.000	0.000	0.000
YIL090W	-1.000	0.000	0.000
YJL095W	-1.000	-1.000	0.000
YJL120W	0.000	0.000	-1.000
YJL121C	0.000	0.000	-1.000
YJL176C	-1.000	-1.000	0.000
YJL179W	-1.000	-1.000	0.000
YJL192C	0.000	-1.000	0.000
YJR043C	-1.000	-1.000	0.000
YJR075W	-1.000	-1.000	0.000
YJR090C	-1.000	-1.000	-1.000
YKL037W	-1.000	-1.000	0.000
YKL048C	-1.000	-1.000	-1.000
YKL057C	-1.000	0.000	0.000
YKL073W	-1.000	-1.000	0.000
YKL110C	-1.000	-1.000	0.000
YKL113C	-1.000	0.000	0.000
YKL114C	-1.000	-1.000	0.000
YKL118W	-1.000	-1.000	-1.000
YKL119C	-1.000	-1.000	-1.000
YKL212W	0.000	-1.000	0.000
YKR007W	-1.000	-1.000	-1.000
YKR082W	-1.000	0.000	-1.000
YLL043W	-1.000	-1.000	0.000
YLR025W	-1.000	-1.000	0.000
YLR315W	-1.000	-1.000	-1.000
YLR322W	-1.000	0.000	0.000
YLR331C	-1.000	-1.000	0.000
YLR332W	-1.000	-1.000	0.000
YLR357W	-1.000	0.000	0.000
YLR368W	-1.000	0.000	0.000
YLR384C	-1.000	-1.000	0.000
YLR386W	-1.000	-1.000	-1.000
YLR417W	-1.000	0.000	0.000
YLR435W	-1.000	-1.000	-1.000
YLR447C	-1.000	-1.000	-1.000
YML008C	0.000	-1.000	-1.000
YML014W	0.000	-1.000	0.000
YML062C	-1.000	-1.000	0.000
YML094C-A	-1.000	-1.000	0.000
YML094W	-1.000	0.000	-1.000
YML112W	-1.000	0.000	0.000
YML121W	-1.000	0.000	0.000
YMR003W	-1.000	-1.000	-1.000
YMR060C	-1.000	-1.000	0.000
YMR077C	-1.000	-1.000	0.000
YMR116C	-1.000	-1.000	0.000
YMR142C	-1.000	-1.000	0.000
YMR242C	0.000	-1.000	0.000
YMR275C	0.000	-1.000	0.000
YMR294W	0.000	-1.000	0.000
YMR307W	0.000	-1.000	0.000
YMR312W	-1.000	-1.000	0.000
YNL079C	-1.000	-1.000	0.000
YNL080C	-1.000	-1.000	0.000
YNL098C	-1.000	-1.000	0.000
YNL133C	-1.000	-1.000	0.000
YNL197C	0.000	-1.000	0.000
YNL225C	-1.000	-1.000	0.000
YNL271C	-1.000	-1.000	0.000
YNL283C	0.000	-1.000	0.000
YNL299W	0.000	-1.000	0.000
YNL325C	0.000	-1.000	0.000
YOR002W	-1.000	-1.000	0.000
YOR008C	-1.000	-1.000	0.000
YOR035C	-1.000	-1.000	-1.000
YOR115C	-1.000	0.000	0.000
YOR198C	-1.000	-1.000	0.000
YOR258W	-1.000	-1.000	0.000
YOR332W	-1.000	-1.000	-1.000
YPL002C	-1.000	-1.000	0.000
YPL065W	-1.000	-1.000	0.000
YPL084W	-1.000	-1.000	0.000
YPL090C	-1.000	-1.000	0.000
YPL101W	0.000	-1.000	0.000
YPL102C	0.000	-1.000	0.000
YPL129W	-1.000	-1.000	-1.000
YPL161C	-1.000	0.000	0.000
YPL180W	-1.000	0.000	0.000
YPL271W	-1.000	0.000	0.000
YPR024W	-1.000	0.000	0.000
YPR036W	-1.000	-1.000	-1.000
YPR067W	-1.000	0.000	0.000
YPR074C	0.000	0.000	-1.000
YPR101W	-1.000	-1.000	0.000
YPR131C	-1.000	-1.000	0.000
YPR135W	-1.000	-1.000	-1.000
YPR139C	0.000	-1.000	0.000
