orf	hap a | growth (pooled culture, microarray) | FTase inhibitor I [10 uM] | YPD | Porcu G~Ragnini-Wilson A, 2013
YAL058W	-6.2340435143938
YBL007C	-6.169840616815612
YBR270C	-7.583461172501124
YCL057W	-6.936804960857751
YCR009C	-10.600997358675967
YDL020C	-6.559106833663544
YDL099W	-7.143295361176789
YDL185W	-18.207016306001858
YDR140W	-10.21520156872415
YDR207C	-6.745931481571247
YDR248C	-7.728640697655405
YDR316W	-5.9112938130548
YDR392W	-10.111088761840602
YEL051W	-10.891934813467214
YER174C	-6.619839304345615
YFR036W	-12.94758434493461
YGL084C	-8.252096754486578
YGL089C	-7.664437800077216
YGL167C	-8.703252250981956
YGR131W	-6.60480078779577
YHR111W	-6.474081374708647
YHR139C-A	-5.892784869608836
YIL044C	-8.606658702373329
YIL157C	-8.185001834494958
YJL056C	-9.081528782658847
YJL120W	-7.832175100056266
YJR033C	-6.634877820895461
YJR122W	-11.960247892988958
YKL043W	-6.332950680933171
YLL043W	-8.34117104482028
YLR038C	-6.2328867054284265
YLR097C	-6.703129549852454
YLR131C	-10.699326120732652
YLR342W	-8.016686130033223
YLR352W	-6.262963738528119
YLR357W	-12.346622087423459
YLR372W	-7.760452944203155
YLR452C	-6.514569688496694
YML008C	-7.05826990222189
YMR021C	-11.54784549683357
YMR052W	-6.1224114492353285
YMR088C	-6.974401252232366
YMR109W	-5.921126689260468
YMR140W	-5.910715408572114
YNL107W	-7.272279560815851
YNL298W	-8.749235407355522
YNR008W	-7.374078749768655
YNR073C	-13.015836073891602
YOL051W	-11.498681115805228
YOL092W	-7.674270676282885
YOL113W	-5.951782126842846
YOL118C	-8.605501893407956
YOL124C	-8.574557253584235
YOL126C	-6.756921166742288
YOR096W	-11.038849552069555
YOR328W	-6.227102660601563
YPL018W	-7.777226674201061
YPL033C	-6.152488482335021
YPL055C	-7.113218328077097
YPL062W	-5.824533140651844
YPL105C	-6.022347473730584
YPL150W	-6.395418365063301
YPL214C	-6.992331791195644
YPR043W	-10.74559847934756
