ORF	Rnr3 abundance;Untreated conditions	Rnr3 abundance;YPD, 0.03% MMS
YER072W	0.080	-0.335
YML119W	0.080	0.327
YOL098C	0.079	-0.263
YDL123W	0.079	-0.102
YJL133W	0.079	-0.131
YLR456W	0.079	-0.054
YGL250W	0.079	0.095
YBL034C	0.014	0.049
YAR018C	0.078	-0.196
YLR179C	0.078	0.086
YGL087C	0.078	1.576
YKL110C	0.078	0.051
YBL019W	0.078	-0.080
YJL176C	0.078	0.181
YLR401C	0.077	0.067
YNL074C	0.077	0.083
YKR027W	0.077	-0.050
YJR082C	0.077	0.110
YIR006C	0.077	0.268
YMR143W	0.077	-0.301
YLL058W	0.077	-0.267
YER181C	0.077	0.066
YDR310C	0.077	-0.114
YBR295W	0.077	0.058
YJL172W	0.077	-0.069
YNL322C	0.076	0.011
YEL060C	0.076	-0.095
YJL085W	0.013	0.358
YCR001W	0.076	-0.147
YPL134C	0.075	-0.103
YPR150W	0.075	-0.092
YER156C	0.075	0.204
YDL012C	0.075	-0.173
YPL062W	0.075	-0.017
YJL090C	0.075	-0.036
YGR099W	0.026	-0.275
YOL012C	0.075	0.457
YPL241C	0.074	-0.043
YHR188C	0.074	0.073
YMR130W	0.074	0.376
YLR376C	0.074	1.106
YJR042W	0.074	-0.151
YIR011C	0.074	-0.355
YIL027C	0.074	0.317
YBR141C	0.074	-0.024
YPL255W	0.011	-0.314
YDR097C	0.074	-0.078
YML112W	0.074	0.132
YDR368W	0.073	-0.105
YOL004W	0.073	0.306
YBR076W	0.073	0.051
YPR165W	0.073	0.143
YGR093W	0.073	0.022
YNL198C	0.073	0.132
YJL019W	0.073	-0.452
YGR272C	0.073	0.408
YIL026C	0.072	0.279
YJL005W	0.072	-0.136
YDL130W-A	0.072	-0.123
YIL135C	0.072	-0.216
YPL105C	0.072	-0.298
YKL163W	0.072	0.033
YHR094C	0.072	-0.223
YGL061C	0.072	0.039
YDR206W	0.072	-0.085
YOR326W	0.020	0.114
YCR030C	0.072	-0.152
YNL016W	0.071	0.497
YCL039W	0.071	-0.081
YJL152W	0.071	-0.020
YGR001C	0.071	-0.208
YBR040W	0.071	0.061
YPR126C	0.071	-0.009
YDL010W	0.071	-0.115
YOL144W	0.071	-0.258
YFL034C-A	0.070	-0.077
YMR227C	0.070	-0.016
YHR195W	0.070	0.103
YDL194W	0.070	0.102
YKL001C	0.070	-0.290
YBR156C	-0.081	0.019
YHR022C	0.070	0.156
YIL164C	0.070	0.011
YJL035C	0.070	-0.032
YDR318W	0.070	0.108
YBR066C	0.070	-0.200
YLR307W	0.070	0.170
YPL199C	0.070	-0.025
YDR384C	0.070	-0.104
YLR166C	0.070	-0.367
YCL038C	0.070	-0.082
YLR367W	0.069	-0.075
YMR195W	0.069	0.052
YDR113C	0.069	-0.162
YIL128W	0.069	0.936
YOR284W	0.069	-0.126
YKR050W	0.069	0.197
YBL005W	0.069	0.027
YPL034W	0.069	0.424
YJR096W	0.069	0.022
YGR275W	0.069	0.188
YHR037W	0.068	0.050
YDR325W	0.068	0.038
YCR062W	0.068	0.074
YGL066W	0.068	-0.511
YDR388W	0.068	0.054
YLR413W	0.068	0.246
YNL162W	0.068	-0.171
YLR135W	0.068	1.052
YGL262W	0.068	-0.173
YDL140C	0.068	0.570
YGR034W	0.067	0.142
YDR236C	0.067	0.143
YBR118W	0.067	-0.174
YOR355W	0.067	-0.163
YOR248W	0.067	-0.055
YGL089C	0.067	-0.131
YJR098C	0.067	0.160
YDR270W	0.067	-0.079
YBR070C	0.067	-0.250
YDR477W	0.067	0.785
YKL190W	0.067	-0.038
YMR220W	0.067	0.171
YDL165W	0.066	-0.581
YKL076C	0.066	-0.008
YPL150W	0.066	-0.137
YKL146W	0.066	-0.007
YBL082C	0.066	-0.196
YGL247W	0.066	-0.036
YPR005C	0.066	-0.132
YPL035C	0.066	-0.083
YBR225W	0.066	0.080
YLR225C	0.066	-0.089
YNR013C	0.066	0.266
YBL057C	0.066	-0.052
YBR062C	0.066	-0.148
YPR012W	0.066	0.211
YOL045W	0.065	0.045
YHR138C	0.065	-0.082
YCL057W	0.065	-0.098
YIL009C-A	0.065	-0.081
YLR296W	0.065	0.077
YPR130C	0.065	0.152
YBR218C	0.065	-0.025
YLR102C	0.065	-0.213
YNR014W	0.065	0.258
YMR068W	0.065	-0.161
YNL234W	0.064	0.158
YOL069W	0.007	0.189
YJL146W	0.064	-0.108
YOR161C	0.064	-0.068
YDL206W	0.064	-0.005
YBL055C	0.064	-0.172
YDR093W	0.064	-0.049
YER180C	0.064	0.012
YEL038W	0.064	0.052
YDL018C	0.064	-0.137
YGR105W	0.064	0.087
YBR275C	0.064	0.217
YOL092W	0.063	0.037
YER157W	-0.019	0.139
YJL020C	0.063	-0.138
YPL089C	0.063	-0.214
YNL305C	0.063	-0.041
YHR143W	0.063	0.098
YPL051W	0.063	-0.081
YPL191C	0.063	-0.061
YJL073W	0.063	-0.034
YBR195C	0.063	0.017
YKL193C	0.037	0.084
YER133W	-0.415	-0.040
YGR004W	0.063	-0.176
YHR096C	0.063	-0.225
YNL257C	0.063	0.246
YJR119C	0.062	0.036
YDR006C	0.062	-0.154
YOR116C	0.062	0.223
YCR092C	0.062	-0.065
YNL053W	0.062	-0.104
YPL197C	0.062	0.620
YBR296C	0.062	-0.011
YER038C	0.062	0.145
YER073W	0.062	-0.169
YIL151C	0.061	-0.074
YOR249C	0.028	0.365
YJL051W	0.061	-0.158
YDL144C	0.061	-0.119
YLR122C	0.061	-0.050
YKR094C	0.061	0.164
YNL106C	0.061	0.268
YDR249C	0.061	-0.129
YGL047W	0.061	-0.187
YGR081C	0.061	0.002
YOL046C	0.061	-0.038
YNL043C	0.061	0.037
YCL045C	0.061	0.007
YMR129W	0.060	0.336
YER175C	0.060	0.064
YBR239C	0.060	0.011
YIL165C	0.060	0.125
YBR007C	0.060	0.001
YNL125C	0.060	0.199
YJL039C	0.060	-0.218
YBL062W	0.060	-0.121
YBR246W	0.060	0.227
YJL173C	0.060	0.754
YDR320C	0.059	-0.022
YHR043C	0.059	0.531
YPR040W	0.059	-0.039
YDR205W	0.059	-0.109
YMR001C	0.059	-0.265
YBL100C	0.059	-0.083
YPL209C	-0.005	0.298
YPR059C	0.059	-0.101
YMR291W	0.059	0.059
YJR103W	0.058	0.140
YMR086W	0.058	0.016
YGR096W	0.058	-0.013
YER016W	0.058	0.381
YBR198C	-0.043	1.304
YML097C	0.058	0.279
YBR219C	0.058	-0.063
YKL055C	0.058	-0.107
YCR027C	0.058	-0.139
YJL060W	0.058	0.040
YDR256C	0.058	-0.103
YGR068C	0.057	0.211
YDR498C	0.057	-0.257
YPL269W	0.057	-0.013
YDR394W	0.057	-0.374
YER171W	0.057	-0.288
YDL211C	0.057	-0.155
YHR202W	0.057	-0.088
YNL237W	0.057	0.065
YNL123W	0.057	0.004
YDL223C	0.057	-0.099
YDR492W	0.057	-0.271
YDR133C	0.057	-0.172
YOR131C	0.057	0.177
YLL062C	0.057	-0.056
YBR034C	0.057	0.014
YHR161C	0.057	-0.008
YMR308C	0.031	-0.103
YMR122C	0.057	-0.136
YIR044C	0.057	-0.127
YGR229C	0.057	-0.015
YJL112W	0.057	0.026
YER054C	0.056	-0.032
YER027C	0.056	0.218
YHL024W	0.056	-0.069
YKL015W	0.056	-0.213
YDL024C	0.056	-0.065
YBR287W	0.056	-0.085
YDR503C	0.056	-0.276
YBR174C	0.056	-0.245
YFL043C	0.056	-0.176
YDR290W	0.056	0.525
YLR142W	0.055	-0.116
YPL202C	0.055	-0.145
YNR072W	0.055	-0.126
YBR280C	0.055	0.129
YDR121W	0.055	-0.029
YLR033W	0.055	-0.194
YKL117W	0.055	-0.121
YNL031C	0.055	-0.132
YOL037C	0.054	0.084
YJL074C	0.025	0.933
YCR100C	0.054	-0.149
YCR008W	0.054	-0.197
YDR196C	0.049	0.028
YDR221W	0.054	-0.155
YLR291C	0.054	-0.071
YCR051W	0.054	-0.054
YNL138W	0.045	-0.127
YMR160W	0.053	0.255
YGL016W	0.053	0.095
YBL043W	0.053	-0.119
YER060W-A	0.053	-0.031
YOR064C	0.053	-0.120
YLR092W	0.053	0.086
YDR026C	0.053	0.008
YDL238C	0.053	-0.167
YGR123C	0.053	-0.112
YMR232W	0.053	0.182
YGL259W	0.052	-0.194
YAR002C-A	0.052	-0.050
YDL178W	0.052	0.002
YKR011C	0.052	-0.064
YMR117C	-0.011	-0.074
YGL020C	0.052	0.125
YOL009C	0.052	0.258
YAL027W	0.052	-0.036
YIL122W	0.052	-0.104
YKR035W-A	0.052	0.267
YPL133C	0.052	-0.204
YDR446W	0.051	-0.039
YAR019C	0.007	0.280
YML057W	0.051	-0.069
YPL270W	0.051	0.181
YLR186W	0.015	0.012
YGR243W	0.051	-0.137
YDL188C	0.051	-0.045
YKL038W	0.051	-0.002
YPR093C	0.051	0.269
YIL102C	0.051	0.007
YDL003W	0.048	0.472
YDR111C	0.051	-0.118
YPL156C	0.051	0.180
YER177W	0.051	-0.407
YNL091W	0.050	0.117
YMR295C	0.050	-0.067
YDR382W	0.050	-0.169
YIL118W	0.027	-0.028
YHR151C	0.050	-0.062
YLR446W	0.050	-0.030
YLR375W	0.050	-0.041
YOR031W	0.050	-0.126
YBL060W	0.050	-0.093
YDR445C	0.050	-0.077
YBR288C	0.050	-0.015
YER051W	0.050	-0.124
YAL004W	0.050	-0.043
YPR190C	0.050	0.014
YEL025C	0.050	-0.127
YKL164C	0.050	0.022
YLR066W	0.049	-0.231
YGR027C	0.049	0.182
YPR127W	0.049	-0.049
YLR335W	0.049	-0.284
YLR255C	0.049	-0.386
YBR186W	0.049	-0.133
YDL127W	0.049	-0.122
YKR015C	0.049	-0.177
YGL144C	0.049	-0.219
YJR141W	0.049	0.259
YDR068W	0.049	0.027
YCR002C	-0.004	0.086
YGR254W	0.049	0.031
YNL015W	0.048	0.203
YDR465C	0.048	-0.023
YGR276C	0.048	-0.006
YMR238W	0.048	0.142
YDR379W	0.048	-0.153
YDR288W	-0.012	1.172
YAR029W	0.048	-0.060
YMR085W	0.048	-0.008
YER106W	0.048	-0.122
YOL038W	0.048	-0.351
YGR098C	0.048	-0.231
YCR098C	0.048	-0.077
YML067C	0.048	0.030
YPL167C	0.048	0.492
YMR080C	0.048	-0.387
YBR272C	0.048	-0.278
YEL006W	0.048	0.193
YDL094C	0.048	0.167
YOL108C	0.048	-0.283
YHL012W	0.048	0.014
YKL085W	0.048	-0.164
YOR195W	0.048	0.257
YNR032C-A	0.048	-0.325
YGL093W	0.042	-0.131
YGR244C	0.047	-0.139
YER049W	0.047	-0.039
YKR095W	0.047	-0.137
YIR028W	0.047	-0.280
YOR024W	0.047	0.079
YHR047C	0.047	0.011
YAR007C	0.047	1.065
YOR144C	0.047	0.668
YLR300W	0.047	-0.077
YNR069C	0.047	0.001
YOR175C	0.047	0.088
YFL003C	0.046	0.234
YOR129C	0.046	0.239
YBR064W	0.046	-0.036
YMR214W	0.046	-0.189
YPL022W	0.046	0.469
YML012W	0.046	-0.070
YOR237W	0.046	-0.006
YOL147C	0.046	0.158
YJL123C	0.046	-0.073
YHR008C	0.046	0.156
YBR285W	0.046	-0.179
YEL047C	0.046	-0.096
YLR380W	0.045	0.019
YCL010C	0.045	-0.008
YML100W-A	0.045	0.120
YLR285W	0.045	-0.029
YBR126C	0.045	-0.283
YPR120C	0.045	0.284
YJL208C	0.045	0.060
YBR172C	0.045	-0.229
YGL054C	0.045	0.017
YLR383W	0.045	0.003
YOR318C	0.045	-0.014
YGR025W	0.045	-0.093
YDL121C	0.045	-0.150
YNL165W	0.045	0.127
YNL191W	0.045	0.458
YGL137W	0.045	0.242
YIL013C	0.045	-0.284
YNL101W	0.044	-0.006
YBL068W	0.044	-0.055
YLR111W	0.044	-0.094
YFL009W	0.022	-0.036
YDR125C	0.044	-0.185
YLR059C	0.044	0.142
YPR034W	0.044	0.441
YPL214C	0.044	-0.011
YMR319C	0.044	0.213
YLR315W	0.044	-0.098
YFL005W	0.044	-0.001
YGR201C	0.044	-0.134
YEL053C	0.044	0.150
YDL052C	0.043	-0.087
YDR219C	0.043	-0.107
YFL012W	0.043	0.057
YOR088W	0.043	-0.082
YOR293W	0.043	-0.230
YEL011W	0.043	0.032
YBR178W	0.043	-0.107
YKL133C	0.043	-0.059
YNL012W	0.043	0.072
YPL057C	0.042	0.078
YFR008W	0.042	-0.154
YMR299C	0.042	-0.151
YDR332W	0.042	-0.120
YDL229W	0.042	-0.041
YIL146C	0.042	0.105
YDR179W-A	0.042	-0.019
YKR077W	0.042	0.025
YLR347C	0.011	-0.401
YOR114W	0.042	-0.180
YOR260W	0.013	0.265
YLR297W	0.042	0.065
YOR149C	0.016	0.055
YDR466W	0.042	-0.216
YNL009W	0.042	0.010
YAL061W	0.042	-0.074
YLR209C	0.041	-0.280
YDR451C	0.041	-0.059
YPL111W	0.041	-0.062
YHR124W	0.041	0.067
YOR227W	0.041	0.047
YPR189W	0.041	-0.341
YGL261C	0.041	-0.179
YIL057C	0.041	-0.098
YDL203C	0.041	-0.075
YPR158W	0.041	-0.136
YIL166C	0.041	0.042
YKL202W	0.041	0.134
YPL200W	0.041	-0.035
YJR034W	0.041	0.098
YDR398W	0.041	-0.064
YGL217C	0.041	0.093
YDR426C	0.040	-0.067
YIL043C	0.040	-0.113
YBR090C-A	0.040	-0.118
YPL047W	0.040	-0.187
YNL090W	0.040	-0.072
YDL222C	0.040	-0.028
YCR007C	0.040	-0.087
YCL046W	0.040	-0.155
YBL081W	0.040	0.081
YDR094W	0.040	0.012
YHR076W	0.039	0.169
YIL109C	-0.045	-0.035
YNR039C	0.039	-0.084
YFL048C	0.039	-0.092
YDR075W	0.039	0.863
YOR074C	0.039	-0.304
YDR349C	0.039	0.414
YBL076C	0.039	-0.127
YOR382W	0.039	-0.111
YGL245W	0.039	-0.137
YEL004W	0.039	-0.065
YLR024C	0.039	0.541
YJR060W	0.039	-0.134
YOR294W	-0.217	-0.097
YGL141W	0.039	-0.326
YMR027W	0.039	0.178
YJR038C	0.039	-0.276
YNR051C	0.039	-0.624
YMR292W	0.039	0.029
YDL001W	0.038	0.056
YBL042C	0.038	-0.069
YLR128W	0.038	0.204
YIL167W	0.038	-0.011
YMR304C-A	0.038	0.051
YDL011C	0.038	-0.188
YMR183C	0.038	-0.060
YLR349W	0.038	-0.027
YOR113W	0.038	-0.019
YIR043C	0.038	-0.215
YGL062W	0.038	-0.005
YER005W	0.037	-0.139
YFL013C	0.037	0.020
YLR342W	0.037	0.141
YAL042W	0.037	-0.124
YDL138W	0.037	-0.131
YDR107C	0.037	-0.047
YDR352W	0.037	-0.022
YKL027W	0.037	-0.054
YIR014W	0.037	-0.168
YMR092C	0.037	0.155
YOR022C	0.036	0.145
YMR075C-A	0.036	0.022
YBR273C	0.036	-0.114
YFL032W	0.036	-0.174
YFL013W-A	0.036	-0.332
YOR228C	0.036	-0.155
YEL017W	0.036	-0.151
YHL039W	0.036	-0.139
YCL055W	0.036	0.069
YEL043W	0.036	-0.216
YBR052C	0.035	-0.184
YMR221C	0.035	0.207
YML016C	0.035	0.092
YNL321W	0.035	-0.019
YDR334W	0.035	0.510
YGL194C	0.035	-0.048
YBL001C	0.035	0.532
YDR192C	0.035	0.005
YMR061W	0.035	0.364
YBR054W	0.035	-0.100
YNL212W	0.035	0.235
YDR424C	0.035	-0.044
YBR211C	0.035	-0.169
YPL114W	0.035	-0.114
YGR281W	0.035	0.190
YLR028C	0.034	-0.071
YER170W	0.034	0.323
YPL066W	0.034	0.094
YHR193C	0.034	0.112
YBR050C	0.034	-0.083
YOR247W	0.034	-0.145
YER093C	-0.020	0.483
YBR022W	0.034	-0.294
YML042W	0.034	0.332
YBR144C	0.034	-0.061
YPR156C	0.034	0.125
YPL257W	0.034	0.060
YBR184W	0.034	-0.127
YGR249W	0.034	-0.016
YFL020C	0.034	-0.032
YJL022W	0.034	-0.273
YIL137C	0.034	0.004
YDR482C	0.033	-0.054
YDR414C	0.033	-0.045
YOR068C	0.033	0.436
YKL158W	0.033	-0.141
YPL018W	0.033	-0.006
YOL150C	0.033	0.191
YML062C	0.033	0.284
YGL097W	-0.103	-0.481
YIR042C	0.033	-0.265
YMR305C	0.033	0.006
YLL010C	0.033	0.806
YIL079C	0.033	-0.225
YBR220C	0.033	0.032
YDR145W	-0.027	0.489
YBR036C	0.033	-0.745
YFR036W	0.033	0.039
YDR184C	0.033	0.001
YLR351C	0.033	-0.038
YNL107W	0.033	0.111
YML047C	0.033	0.260
YLR381W	0.033	-0.068
YMR180C	0.033	-0.231
YJR015W	0.032	-0.099
YLR105C	0.032	-0.485
YOR266W	0.032	0.258
YGR053C	0.032	0.116
YHR001W-A	0.032	-0.066
YNR044W	0.032	-0.077
YDR180W	0.032	1.075
YDL210W	0.032	-0.142
YKL132C	0.032	-0.049
YPR181C	0.032	0.063
YFR055W	0.032	-0.229
YDR380W	0.032	-0.126
YJL170C	0.032	0.321
YBR183W	0.032	0.178
YKL053W	0.031	-0.117
YOR188W	0.031	0.090
YLR414C	0.031	0.252
YGR140W	-0.011	-0.161
YJR152W	0.031	-0.282
YOR133W	0.031	-0.143
YER188W	0.031	-0.032
YDR061W	0.031	0.010
YOR345C	0.031	0.068
YBR158W	0.031	-0.090
YGR049W	0.031	-0.058
YNL079C	0.031	-0.075
YLR303W	0.031	0.012
YDL200C	0.031	0.336
YHR004C	0.031	-0.134
YKR055W	0.031	-0.013
YLR426W	0.031	-0.076
YGR129W	0.030	0.039
YOR121C	0.030	-0.074
YOR021C	0.030	-0.026
YNL105W	0.030	0.049
YLR386W	0.030	-0.008
YPL015C	0.030	-0.078
YJL190C	0.030	0.144
YHR101C	0.030	0.071
YNL070W	0.030	-0.048
YNL010W	0.030	0.132
YBR069C	0.030	-0.078
YNL168C	0.030	-0.235
YDL093W	0.030	-0.084
YDL156W	0.030	0.047
YLR103C	0.029	0.062
YMR140W	0.029	0.194
YHR109W	0.029	-0.201
YNL078W	0.029	0.049
YDL207W	-0.183	0.105
YJR121W	0.029	-0.086
YER048C	0.029	-0.086
YBR207W	0.029	-0.134
YOR094W	0.029	-0.015
YHL023C	0.029	-0.204
YLR134W	0.029	0.027
YGR133W	0.029	0.151
YHR107C	0.015	0.132
YNL194C	0.028	-0.139
YER046W-A	0.028	-0.093
YKL064W	0.028	-0.024
YGR216C	0.028	0.046
YGL127C	0.028	0.439
YPL239W	0.028	0.064
YJL100W	0.028	-0.040
YML003W	0.028	-0.113
YMR012W	0.028	0.101
YGR172C	0.003	-0.010
YPL216W	0.028	-0.046
YIL103W	0.028	-0.269
YDR490C	0.028	-0.175
YHR020W	0.028	0.181
YPL181W	0.028	-0.164
YLR389C	0.027	-0.033
YOR134W	0.027	-0.005
YAL007C	0.027	-0.121
YLL050C	-0.002	-0.054
YDR165W	0.027	-0.321
YBR043C	0.027	-0.025
YDL026W	0.027	-0.140
YDR009W	0.027	-0.067
YJL089W	0.027	0.065
YOL116W	0.027	0.068
YHR050W	0.027	-0.165
YAL001C	0.027	-0.183
YBR259W	0.027	-0.102
YLR287C-A	0.027	0.177
YER168C	0.027	-0.152
YBL104C	0.027	0.102
YML022W	0.027	0.274
YDL048C	0.027	0.334
YBR265W	0.026	-0.211
YDR255C	0.026	-0.184
YER009W	-0.003	-0.187
YBR093C	0.026	-0.183
YCR099C	0.026	-0.174
YIL024C	0.026	-0.140
YBR159W	0.026	-0.156
YBR242W	0.026	-0.306
YGR113W	-0.045	0.287
YGL222C	0.026	0.045
YOR298C-A	0.026	0.079
YGR138C	0.026	-0.045
YGL032C	0.026	-0.069
YLR354C	0.026	-0.061
YCR060W	0.026	0.166
YCL050C	0.026	-0.109
YNL236W	0.026	-0.053
YDR259C	0.026	-0.166
YNR024W	0.026	-0.008
YOL025W	0.026	0.128
YPR068C	0.025	0.334
YKL175W	0.025	0.024
YFL028C	0.025	-0.096
YML131W	0.025	0.552
YJL095W	0.025	-0.158
YAL049C	0.025	-0.094
YDL186W	0.025	0.017
YLR432W	0.025	-0.070
YOR058C	0.025	-0.049
YGR124W	0.025	-0.175
YML029W	0.025	0.037
YOR118W	0.025	-0.165
YHR088W	-0.165	-0.025
YPR145W	0.024	0.070
YAR014C	0.024	-0.148
YPL092W	0.024	-0.028
YIL050W	0.024	-0.040
YBR203W	0.024	-0.128
YGL207W	0.024	-0.279
YIR036C	0.024	-0.231
YLR005W	-0.026	0.116
YCR020C	0.024	-0.084
YGR271W	0.024	0.190
YER174C	0.024	-0.051
YOR245C	0.024	-0.259
YLR237W	0.024	-0.069
YHR204W	0.024	-0.133
YEL028W	0.023	-0.070
YMR199W	0.023	-0.008
YNL020C	0.023	0.313
YGR122C-A	0.023	-0.314
YBR053C	0.023	-0.101
YGL221C	0.023	-0.096
YNL267W	-0.023	0.183
YIL021W	0.023	-0.124
YNL239W	0.023	0.081
YGL234W	0.023	0.227
YHR035W	0.023	-0.138
YER134C	0.023	-0.065
YDR059C	0.023	-0.077
YBR073W	0.023	0.027
YLR363C	0.023	-0.122
YDL090C	0.023	0.275
YER090W	0.023	-0.276
YBL071C	0.023	0.013
YKL206C	0.023	-0.109
YKR052C	0.022	-0.135
YMR139W	0.022	0.370
YOL103W	0.022	0.032
YOL059W	0.022	0.147
YCR005C	0.022	-0.090
YLR083C	0.022	0.232
YBR157C	0.022	0.038
YDR008C	0.022	-0.094
YDR383C	0.022	-0.171
YOR107W	0.022	-0.139
YOR138C	0.022	-0.133
YPL265W	0.022	-0.022
YJL147C	0.022	0.201
YOR269W	0.022	-0.189
YAL013W	0.022	0.011
YBR027C	0.022	-0.092
YFR038W	0.022	0.186
YLR211C	0.022	-0.182
YJL001W	0.022	-0.245
YNL040W	0.022	0.019
YBL095W	0.022	-0.085
YPR051W	0.021	0.072
YDL171C	0.021	-0.115
YOR352W	0.021	0.016
YGL156W	0.021	-0.148
YDL185W	0.021	0.116
YOL015W	0.021	0.569
YMR136W	0.021	-0.073
YNR033W	0.021	0.001
YFL046W	0.021	-0.089
YEL071W	0.021	-0.132
YHR125W	0.021	-0.185
YKL147C	0.021	-0.137
YOR226C	0.021	-0.028
YDR348C	0.021	-0.304
YBR061C	0.021	0.068
YGL232W	0.021	-0.031
YGR116W	0.021	-0.414
YDR425W	0.020	-0.039
YIR010W	-0.018	-0.182
YOL021C	0.020	-0.275
YLR222C	0.020	-0.124
YDL167C	0.020	-0.168
YGR284C	0.020	0.200
YGR206W	0.020	-0.149
YGR246C	0.020	-0.626
YIL087C	0.020	-0.182
YJL034W	0.020	0.196
YOL057W	0.020	-0.324
YER163C	0.020	-0.030
YDR143C	0.020	-0.059
YER038W-A	0.020	-0.099
YOL089C	0.020	-0.151
YDR358W	0.020	-0.003
YMR186W	0.020	-0.126
YGL248W	0.020	-0.215
YLR390W	0.020	-0.057
YDL187C	0.020	0.336
YHR139C-A	0.020	0.240
YAL028W	0.019	-0.059
YBL091C	0.019	-0.230
YMR241W	0.019	0.173
YPL176C	0.019	0.113
YEL023C	0.019	-0.069
YKL166C	0.019	0.198
YMR290C	0.019	0.093
YOR137C	0.019	-0.158
YIL168W	0.019	0.081
YLR063W	0.019	0.109
YGL092W	0.019	0.096
YCR021C	0.019	-0.118
YDR171W	0.019	0.063
YKR083C	0.019	-0.417
YGR012W	0.019	-0.209
YPL046C	0.019	0.215
YCL047C	0.019	-0.078
YER039C	0.019	-0.068
YOL053C-A	0.019	0.296
YML099C	0.018	-0.063
YHR160C	0.018	-0.355
YNL082W	0.018	0.253
YDR485C	0.018	0.137
YOL024W	0.018	0.019
YPL147W	0.018	0.051
YKL049C	0.018	-0.235
YDR423C	0.018	0.021
YDR257C	0.018	-0.123
YML031W	0.018	-0.390
YNR065C	0.018	-0.126
YPR109W	0.018	0.007
YPR053C	0.018	0.192
YLR287C	0.018	0.027
YGR224W	0.018	-0.238
YLR258W	0.018	0.099
YML109W	0.017	-0.081
YBR149W	0.017	-0.105
YPR160W	0.017	0.016
YOL138C	0.017	0.140
YHR179W	0.017	-0.096
YER144C	0.017	-0.125
YKL096W-A	0.017	-0.274
YIL064W	0.017	0.100
YDL239C	0.017	-0.181
YOR170W	0.017	0.130
YNR012W	0.017	0.296
YMR294W	0.017	-0.142
YDR271C	0.017	0.006
YDR473C	0.017	0.040
YEL017C-A	0.017	-0.077
YOL036W	0.017	0.150
YBL069W	0.017	-0.155
YER024W	0.017	-0.024
YPR011C	0.017	0.014
YLR311C	0.017	0.196
YBR051W	0.017	-0.307
YGL015C	0.017	-0.112
YPL037C	0.017	0.271
YBR241C	0.017	-0.063
YGR261C	0.017	0.023
YDR274C	0.017	-0.111
YDR135C	0.016	-0.163
YNL328C	0.016	0.003
YJL013C	0.016	-0.188
YOR066W	0.016	0.212
YOR265W	0.016	0.094
YDR031W	0.016	-0.168
YMR123W	0.016	0.075
YLR402W	0.016	0.526
YDL155W	0.016	0.253
YLR164W	0.016	-0.056
YFL015C	0.016	-0.250
YJL029C	0.016	0.061
YNL230C	0.016	0.135
YKL200C	0.016	0.003
YOL135C	-0.061	-0.005
YPR002W	0.016	-0.025
YOR008C-A	0.015	-0.189
YGL196W	0.015	0.099
YCL004W	0.015	-0.193
YML021C	0.015	0.302
YDR491C	0.015	-0.112
YER147C	-0.010	0.529
YGR217W	0.015	-0.231
YHL035C	0.015	-0.227
YDL051W	0.015	-0.136
YDL114W	0.015	-0.029
YPL180W	0.015	-0.005
YHR079C	0.015	-0.120
YER185W	0.015	-0.052
YDR182W	-0.082	0.601
YGR031W	0.014	-0.112
YGR205W	0.014	-0.224
YGR270W	0.014	0.398
YPR129W	0.014	0.065
YHR152W	0.014	-0.130
YDR007W	0.014	-0.225
YGR268C	0.014	-0.004
YER108C	0.014	-0.105
YIL158W	0.014	-0.000
YLL036C	0.014	-0.125
YOR300W	0.014	0.069
YDR370C	0.014	-0.077
YLR045C	-0.058	-0.111
YNL181W	0.014	-0.083
YHR046C	0.014	-0.051
YGR233C	0.014	-0.183
YGL108C	0.014	-0.058
YJR149W	0.013	-0.185
YGL252C	0.013	-0.325
YDR144C	0.013	-0.055
YJL218W	0.013	-0.113
YML071C	0.013	-0.164
YDR306C	0.013	-0.128
YBR301W	0.013	-0.022
YNL057W	0.013	-0.028
YHR126C	0.013	-0.064
YOR190W	0.012	0.104
YJL192C	0.012	-0.031
YNL254C	0.012	-0.211
YER062C	0.012	-0.074
YMR110C	0.012	-0.097
YPR146C	0.012	-0.063
YLR384C	0.012	0.097
YPL259C	0.012	0.094
YIR004W	0.012	-0.036
YER064C	0.012	-0.084
YIL136W	0.012	-0.153
YJL064W	0.012	0.202
YGR203W	0.012	-0.196
YPL203W	0.012	-0.281
YDR032C	0.012	-0.079
YER096W	0.012	-0.161
YBR047W	0.012	-0.036
YCL076W	0.012	-0.067
YLR016C	0.011	-0.199
YNL128W	0.011	0.248
YLR241W	0.011	-0.094
YML033W	0.011	0.189
YJL193W	0.011	-0.029
YLR371W	0.011	0.016
YHR016C	0.011	-0.150
YBR008C	0.011	0.115
YMR239C	-0.070	-0.017
YPL087W	0.011	-0.045
YER059W	0.011	0.014
YEL005C	0.011	-0.173
YLR126C	0.011	-0.053
YGL233W	0.011	-0.285
YMR141C	0.011	0.252
YPL189W	0.011	-0.172
YOR338W	0.010	0.013
YFL027C	0.010	-0.030
YDL027C	0.010	-0.046
YJL093C	0.010	-0.123
YLR190W	0.010	-0.025
YGR126W	0.010	0.003
YNR066C	0.010	0.012
YGR016W	0.010	-0.086
YGL110C	0.010	0.149
YOR376W	0.010	-0.176
YER060W	0.010	-0.128
YOR072W	0.010	-0.139
YGR266W	0.010	-0.134
YPL235W	0.010	-0.304
YPR037C	0.010	-0.002
YBR206W	0.010	-0.072
YOR007C	0.010	-0.011
