orf	hap a | number of peroxisomes | standard [standard] | Yofe I~Thoms S, 2017	hap a | peroxisomes distribution | standard [standard] | Yofe I~Thoms S, 2017
YAL002W	2.24	6.66
YAL004W	2.4	8.65
YAL005C	2.17	8.77
YAL007C	2.33	7.55
YAL008W	2.56	7.08
YAL009W	2.7	7.88
YAL010C	2.61	20.81
YAL011W	2.1	9.36
YAL013W	3.35	10.77
YAL014C	2.5	9.03
YAL015C	2.59	8.69
YAL017W	2.45	9.06
YAL018C	2.26	8.49
YAL019W	2.37	8.57
YAL020C	2.49	8.6
YAL021C	2.72	10.56
YAL022C	2.3	7.73
YAL023C	2.27	8.68
YAL026C	2.82	10.27
YAL027W	2.49	8.3
YAL028W	2.45	7.34
YAL029C	2.5	9.06
YAL030W	2.29	7.89
YAL031C	2.17	8.84
YAL034C	2.43	7.49
YAL036C	2.43	7.85
YAL037W	2.36	6.87
YAL039C	2.72	16.69
YAL040C	2.83	8.16
YAL042C-A	2.53	9.04
YAL042W	2.25	8.74
YAL044C	2.81	7.82
YAL045C	2.33	8.97
YAL046C	2.43	9.09
YAL048C	2.67	7.58
YAL049C	2.46	7.39
YAL051W	2.39	7.11
YAL053W	2.54	8.1
YAL054C	2.45	11.5
YAL055W	2.23	7.97
YAL056C-A	2.35	10.01
YAL056W	2.35	8.42
YAL058W	2.52	7.77
YAL059W	2.44	8.9
YAL060W	2.34	7.75
YAL061W	2.4	7.88
YAL062W	2.5	7.79
YAL064C-A	2.46	11.33
YAL065C	2.36	8.68
YAL066W	2.29	8.18
YAL067C	2.31	7.98
YAL068C	2.31	7.2
YAR002C-A	2.5	10.82
YAR002W	2.4	7.72
YAR014C	2.57	9.89
YAR015W	2.73	9.17
YAR018C	2.5	10.23
YAR020C	2.69	11.19
YAR023C	2.43	8.08
YAR027W	2.28	8.24
YAR028W	2.29	7.46
YAR029W	2.4	8.04
YAR030C	2.38	7.71
YAR031W	2.37	7.12
YAR035W	2.36	8.08
YAR042W	2.34	9.25
YAR047C	2.45	9.12
YAR050W	2.38	11.42
YBL001C	2.3	7.85
YBL002W	3.39	11.72
YBL003C	2.38	8.66
YBL005W	2.2	8.48
YBL006C	2.8	14.95
YBL007C	2.8	9.46
YBL008W	2.49	10.6
YBL009W	2.63	8.95
YBL010C	2.39	8.34
YBL011W	2.36	9.68
YBL012C	2.49	10.14
YBL013W	2.46	9.59
YBL015W	2.24	7.22
YBL017C	2.46	8.32
YBL019W	2.26	9.0
YBL021C	2.79	9.37
YBL022C	2.75	19.42
YBL024W	2.33	9.62
YBL027W	2.7	9.49
YBL028C	2.21	9.32
YBL029W	2.34	8.69
YBL031W	2.45	8.24
YBL032W	2.32	7.73
YBL036C	2.2	8.24
YBL037W	2.58	8.15
YBL038W	2.56	21.48
YBL039C	2.5	10.15
YBL042C	2.41	11.89
YBL043W	2.37	9.56
YBL044W	2.57	9.53
YBL045C	2.64	11.88
YBL046W	2.57	8.73
YBL047C	2.47	7.91
YBL048W	2.47	7.66
YBL049W	2.29	8.63
YBL051C	2.44	12.41
YBL052C	2.4	8.61
YBL053W	2.36	8.47
YBL054W	2.42	10.84
YBL055C	2.65	9.49
YBL056W	2.62	8.87
YBL057C	2.46	9.74
YBL058W	2.7	11.04
YBL059W	2.45	8.43
YBL060W	2.39	8.38
YBL061C	2.28	7.94
YBL062W	2.11	8.49
YBL063W	2.34	8.82
YBL064C	2.44	8.36
YBL065W	2.56	10.01
YBL066C	2.5	8.39
YBL067C	2.59	9.54
YBL068W	2.33	10.34
YBL069W	2.32	9.51
YBL070C	2.58	9.53
YBL071C	2.46	9.24
YBL072C	2.37	8.76
YBL075C	2.5	7.99
YBL078C	2.42	8.05
YBL079W	2.69	7.39
YBL080C	2.9	18.5
YBL081W	2.44	7.74
YBL082C	2.46	8.13
YBL083C	2.46	8.11
YBL085W	2.57	8.5
YBL086C	2.26	10.41
YBL087C	2.68	8.35
YBL088C	2.33	8.54
YBL089W	2.22	9.66
YBL091C	2.38	8.73
YBL091C-A	2.44	12.16
YBL093C	2.73	20.02
YBL094C	2.58	7.37
YBL095W	2.58	10.29
YBL096C	2.3	10.88
YBL098W	2.48	10.07
YBL099W	2.78	11.49
YBL100C	3.36	11.05
YBL101C	2.41	10.44
YBL102W	2.53	9.43
YBL103C	2.88	18.87
YBL104C	2.52	8.36
YBL106C	2.66	12.85
YBL107C	2.47	12.19
YBR001C	2.58	11.52
YBR003W	2.77	10.9
YBR005W	2.49	9.4
YBR006W	2.47	9.52
YBR007C	2.91	8.2
YBR008C	2.58	11.04
YBR009C	2.78	9.08
YBR010W	2.67	9.63
YBR012C	2.12	11.2
YBR013C	2.4	10.6
YBR014C	2.53	12.43
YBR016W	2.49	10.33
YBR018C	2.4	10.71
YBR019C	2.68	8.61
YBR020W	2.64	11.52
YBR022W	2.43	9.9
YBR023C	2.33	11.29
YBR024W	2.43	10.11
YBR025C	2.5	10.52
YBR027C	2.35	11.03
YBR028C	2.52	10.8
YBR030W	2.52	10.18
YBR031W	2.34	9.61
YBR032W	2.53	10.47
YBR033W	2.36	10.27
YBR034C	2.25	11.52
YBR036C	2.39	10.07
YBR037C	2.34	20.04
YBR040W	2.45	10.71
YBR041W	2.53	8.99
YBR042C	2.42	11.03
YBR043C	2.4	10.62
YBR044C	2.41	12.25
YBR045C	2.6	10.51
YBR046C	2.49	11.14
YBR047W	2.33	9.25
YBR048W	2.47	9.21
YBR050C	2.35	10.35
YBR051W	2.17	10.74
YBR052C	2.62	12.23
YBR053C	2.55	11.29
YBR054W	2.47	12.21
YBR056W	2.42	12.98
YBR057C	2.73	8.96
YBR058C	2.76	11.26
YBR059C	2.38	10.74
YBR061C	2.6	12.55
YBR062C	2.62	9.89
YBR063C	2.31	11.64
YBR064W	2.58	10.65
YBR065C	2.5	11.75
YBR066C	2.4	8.09
YBR067C	2.35	11.95
YBR068C	2.33	12.88
YBR069C	2.53	12.77
YBR071W	2.59	9.95
YBR072W	2.37	9.09
YBR073W	2.65	10.53
YBR074W	2.475	11.625
YBR076W	2.48	10.78
YBR077C	2.49	10.07
YBR082C	2.33	10.31
YBR083W	2.38	11.04
YBR084C-A	3.12	8.38
YBR084W	2.34	10.84
YBR089C-A	2.4	9.81
YBR090C	2.4	9.94
YBR092C	2.22	11.65
YBR093C	2.58	8.95
YBR094W	2.31	9.24
YBR098W	2.455	10.735
YBR099C	2.59	10.15
YBR103W	2.6	14.6
YBR104W	2.46	12.66
YBR106W	3.36	17.11
YBR107C	2.48	9.3
YBR108W	2.41	9.65
YBR111C	2.37	10.12
YBR113W	2.56	13.28
YBR114W	2.53	10.63
YBR116C	2.51	12.06
YBR119W	2.53	11.1
YBR121C	2.37	11.5
YBR125C	2.41	11.26
YBR128C	2.48	13.46
YBR129C	2.52	12.86
YBR130C	2.15	11.89
YBR131W	2.39	19.81
YBR132C	2.69	10.49
YBR134W	2.52	10.3
YBR137W	2.65	11.94
YBR138C	2.42	11.81
YBR139W	2.53	10.52
YBR141C	2.46	12.53
YBR144C	2.4	13.08
YBR145W	2.56	12.6
YBR146W	2.27	12.93
YBR147W	2.61	11.15
YBR148W	2.21	9.54
YBR149W	2.14	12.54
YBR150C	2.37	10.34
YBR151W	2.34	15.47
YBR156C	2.3	14.69
YBR157C	2.28	10.0
YBR158W	2.22	11.45
YBR159W	2.37	11.33
YBR161W	2.42	11.17
YBR162C	2.49	11.68
YBR162W-A	2.31	10.63
YBR163W	2.58	21.33
YBR164C	2.4	11.43
YBR165W	2.34	11.21
YBR166C	2.25	11.98
YBR169C	2.65	9.59
YBR170C	2.45	10.38
YBR172C	2.62	14.16
YBR174C	2.57	13.28
YBR175W	2.36	10.68
YBR176W	2.12	7.79
YBR177C	2.38	8.16
YBR178W	2.17	8.86
YBR180W	2.35	8.93
YBR181C	2.97	7.34
YBR182C	2.24	8.33
YBR183W	2.08	7.96
YBR184W	2.34	7.18
YBR185C	2.39	8.49
YBR186W	2.33	7.21
YBR187W	2.01	7.76
YBR188C	2.25	6.78
YBR189W	2.69	12.51
YBR191W	3.13	11.43
YBR194W	2.89	9.28
YBR195C	2.28	8.27
YBR197C	2.36	7.99
YBR199W	2.47	9.02
YBR200W	3.13	7.56
YBR201W	2.27	8.27
YBR203W	2.48	8.43
YBR204C	2.4	9.02
YBR205W	2.26	7.8
YBR206W	2.16	9.9
YBR207W	2.31	7.33
YBR208C	2.24	7.03
YBR209W	2.39	8.27
YBR210W	2.35	8.73
YBR212W	2.29	7.12
YBR213W	2.62	14.98
YBR214W	2.35	9.26
YBR215W	2.35	10.28
YBR216C	2.27	10.33
YBR217W	2.32	8.08
YBR218C	2.32	8.5
YBR219C	2.21	8.09
YBR220C	2.19	8.22
YBR221C	2.74	6.49
YBR222C	2.48	7.29
YBR223C	2.09	8.24
YBR224W	2.21	8.59
YBR225W	2.28	9.72
YBR226C	2.38	7.56
