Name	Conditionset	Dataset
04_02_11_07:1,3-diallylurea:5000:um::::20gen:het_06_03:new scanner	8406	12265
04_01_21_05:1,3-diallylurea:10000:um::::20gen:het_06_03:new scanner	752	12215
03_12_09_06:1,4-dimethylendothall:100:um::::20gen:het_06_03:new scanner	753	12216
03_12_09_08:1,4-dimethylendothall:500:um::::20gen:het_06_03:new scanner	8408	12267
03_12_09_07:1,4-dimethylendothall:1000:um::::20gen:het_06_03:new scanner	8407	12266
04_01_22_01:1,7-octadiene:0.25:%::::20gen:het_06_03:new scanner	754	12217
04_01_22_02:1,8-nonadiene:0.99:%::::20gen:het_06_03:new scanner	756	12218
01_07_17_02:20 degrees C::::::20gen:het_04_01_2:old scanner	8409	12268
01_06_06_04:23 degrees C::::::5gen:het_04_01_2:old scanner	758	12219
01_06_14_01:23 degrees C::::::15gen:het_04_01_2:old scanner	759	12220
01_06_26_07:23 degrees C::::::5gen:het_04_01_2:old scanner	758	12219
01_06_29_02:23 degrees C::::::15gen:het_04_01_2:old scanner	759	12220
01_05_31_03:37 degrees C::::::5gen:het_04_01_2:old scanner	763	12222
01_06_13_04:37 degrees C::::::20gen:het_04_01_2:old scanner	762	12221
01_06_13_06:37 degrees C::::::20gen:het_04_01_2:old scanner	762	12221
01_06_19_03:37 degrees C::::::5gen:het_04_01_2:old scanner	763	12222
01_07_25_04:37 degrees C::::::20gen:het_04_01_2:old scanner	762	12221
01_07_25_03:37c, 45c::::::5gen:het_04_01_2:old scanner	X	0
03_08_13_07:4-isopropyltropolone:15.63:um::::20gen:het_06_03:new scanner	8410	12269
02_10_03_14:4,6-dichloroindole-2-carboxylic acid:1000:um::::20gen:het_04_01_2:old scanner	8411	12270
01_10_30_01:5-fluorocytosine:15.6:um::::20gen:het_04_01_2:old scanner	8412	12271
01_11_06_02:5-fluorocytosine:15.6:um::::20gen:het_04_01_2:old scanner	8412	12271
02_10_02_08:5-fluorocytosine:15.6:um:fluconazole:65.3:um:20gen:het_04_01_2:old scanner	8413	12272
02_10_02_09:5-fluorocytosine:15.6:um:ketoconazole:4:um:20gen:het_04_01_2:old scanner	8414	12273
02_10_02_10:5-fluorocytosine:15.6:um:amphotericin:40:um:20gen:het_04_01_2:old scanner	8415	12274
02_10_02_11:5-fluorocytosine:15.6:um:amphotericin:20:um:20gen:het_04_01_2:old scanner	8416	12275
03_03_27_06:5-fluorocytosine:15.6:um::::20gen:het_04_01_2:old scanner	8412	12271
03_03_27_12:5-fluorocytosine:15.6:um::::20gen:het_04_01_2:old scanner	8412	12271
03_04_04_02:5-fluorocytosine:15.6:um::::20gen:het_04_01_2:old scanner	8412	12271
01_09_14_01:5-fluorouracil:4.8:um::::20gen:het_04_01_2:old scanner	8276	12249
01_05_11_05:5-fluorouracil:19.2:um::::20gen:het_04_01_2:old scanner	8277	12250
02_06_25_07:5-fluorouracil:19.2:um::::20gen:het_04_01_2:old scanner	8277	12250
02_06_25_09:5-fluorouracil:19.2:um:leucovorin:500:um:20gen:het_04_01_2:old scanner	8418	12277
02_09_27_03:5-fluorouracil:19.2:um::::5gen:het_04_01_2:old scanner	767	12223
02_10_10_03:5-fluorouracil:19.2:um::::20gen:het_04_01_2:old scanner	8277	12250
03_10_20_11:5-fluorouracil:19.2:um::::20gen:het_06_03:new scanner	8277	12250
03_11_21_07:5-fluorouracil:19.2:um::::20gen:het_06_03:new scanner	8277	12250
03_10_20_10:5-fluorouracil:38.4:um::::20gen:het_06_03:new scanner	8771	12625
03_11_21_06:5-fluorouracil:38.4:um::::20gen:het_06_03:new scanner	8771	12625
01_09_13_03:5-fluorouracil:38.5:um::::15gen:het_04_01_2:old scanner	8420	12279
02_06_25_08:5-fluorouracil:38.5:um::::20gen:het_04_01_2:old scanner	8278	12251
02_06_25_10:5-fluorouracil:38.5:um:leucovorin:500:um:20gen:het_04_01_2:old scanner	8419	12278
02_09_27_01:5-fluorouracil:38.5:um::::5gen:het_04_01_2:old scanner	8421	12280
02_10_10_01:5-fluorouracil:38.5:um::::20gen:het_04_01_2:old scanner	8278	12251
03_11_07_10:5-fluorouracil:76.8:um::::20gen:het_06_03:new scanner	8772	12626
03_11_21_08:5-fluorouracil:76.8:um::::20gen:het_06_03:new scanner	8772	12626
02_05_15_01:5-fluorouracil:76.9:um::::20gen:het_04_01_2:old scanner	8279	12252
02_05_15_02:5-fluorouracil:76.9:um::::20gen:het_04_01_2:old scanner	8279	12252
03_01_09_11:5-fluorouracil:125:um::::20gen:het_04_01_2:old scanner	8417	12276
02_10_11_11:5-fluorouridine:23.8:um::::20gen:het_04_01_2:old scanner	8422	12281
02_10_11_10:5-fluorouridine:47.5:um::::20gen:het_04_01_2:old scanner	8423	12282
02_10_11_09:5-fluorouridine:95:um::::20gen:het_04_01_2:old scanner	8424	12283
02_08_16_02:5,6-dihydroxyflavone:250:um::::20gen:het_04_01_2:old scanner	8425	12284
03_12_09_14:5,6-dihydroxyflavone:250:um::::20gen:het_06_03:new scanner	8425	12284
03_08_21_01:aclacinomycin A:15.63:um::::20gen:het_06_03:new scanner	8426	12285
02_05_02_03:acriflavinium hydrochloride:250:um::::20gen:het_04_01_2:old scanner	570	12120
03_01_09_01:acriflavinium hydrochloride:250:um::::20gen:het_04_01_2:old scanner	570	12120
03_08_06_01:adenophostin A:500:um::::20gen:het_06_03:new scanner	571	12121
03_09_10_07:AG 1387 (Biomol):250:um::::20gen:het_06_03:new scanner	8427	12286
03_08_13_11:AG 1478 (Biomol):100:um::::20gen:het_06_03:new scanner	8428	12287
03_09_10_06:AG 957 (Biomol):500:um::::20gen:het_06_03:new scanner	8429	12288
02_05_09_03:aklavin hydrochloride:125:um::::20gen:het_04_01_2:old scanner	8430	12289
03_01_09_06:aklavin hydrochloride:250:um::::20gen:het_04_01_2:old scanner	776	12224
02_05_14_03:aklavin hydrochloride:500:um::::20gen:het_04_01_2:old scanner	8431	12290
03_12_18_06:alizarin:66:um::::20gen:het_06_03:new scanner	574	12122
03_09_30_01:alizarin:125:um::::20gen:het_06_03:new scanner	8432	12291
04_01_21_03:allyl disulfide:0.01:%::::20gen:het_06_03:new scanner	575	12123
03_12_02_02:allyl disulfide:0.016:%::::20gen:het_06_03:new scanner	576	12124
03_11_06_05:allyl disulfide:0.06:%::::20gen:het_06_03:new scanner	577	12125
04_01_21_02:allyl sulfide:0.12:%::::20gen:het_06_03:new scanner	8433	12292
02_05_23_02:alverine citrate:500:um::::20gen:het_04_01_2:old scanner	579	12126
02_06_11_04:alverine citrate:500:um::::20gen:het_04_01_2:old scanner	579	12126
03_01_15_09:alverine citrate:500:um::::20gen:het_04_01_2:old scanner	579	12126
03_01_24_04:alverine citrate:500:um::::20gen:het_04_01_2:old scanner	579	12126
03_01_24_05:alverine citrate:500:um::::20gen:het_04_01_2:old scanner	579	12126
03_02_19_09:alverine citrate:500:um::::20gen:het_09_02:old scanner	579	12126
03_02_19_10:alverine citrate:500:um::::20gen:het_09_02:old scanner	579	12126
03_03_26_09:alverine citrate:500:um::::20gen:het_09_02:old scanner	579	12126
03_03_26_10:alverine citrate:500:um::::20gen:het_09_02:old scanner	579	12126
03_06_26_01:alverine citrate, 30ul total up/dn:500:um::::20gen:het_06_03:old scanner	X	0
03_06_26_04:alverine citrate, 60ul total up/dn:500:um::::20gen:het_06_03:old scanner	X	0
02_08_27_02:aminacrine:250:um::::20gen:het_04_01_2:old scanner	8434	12293
02_07_19_08:aminophenazone:250:um::::20gen:het_04_01_2:old scanner	8435	12294
03_07_25_08:aminopterin:125:um::::20gen:het_06_03:new scanner	8436	12295
02_05_23_03:amitriptyline hydrochloride:250:um::::20gen:het_04_01_2:old scanner	8437	12296
02_10_03_10:amoxepine:500:um::::20gen:het_04_01_2:old scanner	8438	12297
02_06_07_04:amphotericin B:0.31:um::::20gen:het_04_01_2:old scanner	580	12127
03_01_15_07:amphotericin B:0.31:um::::20gen:het_04_01_2:old scanner	580	12127
