orf	hap alpha | growth (area of killing zone) | K1 killer toxin [unknown] | quantitative | quantitative only for hits | quantitative only for hits	het | growth (area of killing zone) | K1 killer toxin [unknown] | quantitative | quantitative only for hits | quantitative only for hits	hom | growth (area of killing zone) | K1 killer toxin [unknown] | quantitative | quantitative only for hits | quantitative only for hits
YAL013W	27.0	0.0	28.0
YAL016W	-22.0	0.0	
YAL019W	24.0	0.0	28.0
YAL020C	29.0	0.0	22.0
YAL021C	58.0	0.0	43.0
YAL023C	23.0	0.0	44.0
YAL026C	100.0	0.0	44.0
YAL035W	-22.0	0.0	
YAL042W	62.0	0.0	58.0
YAL058W	100.0	0.0	100.0
YAR014C	46.0	0.0	53.0
YAR018C	28.0	0.0	30.0
YAR042W	23.0	0.0	28.0
YBL051C	30.0	0.0	30.0
YBL105C	0.0		
YBR112C	100.0	19.0	100.0
YBR162C	19.0	0.0	34.0
YBR171W	-33.0	0.0	-44.0
YBR181C	-14.0	-15.0	-26.0
YBR200W	-21.0	0.0	-14.0
YBR229C	100.0	0.0	100.0
YBR265W	-15.0		
YBR282W	26.0	0.0	26.0
YBR284W	15.0	0.0	30.0
YCL058C	-25.0	0.0	-19.0
YCR046C	19.0	0.0	27.0
YCR071C	100.0	0.0	25.0
YCR084C	100.0	17.0	100.0
YCR094W	23.0	0.0	38.0
YDL005C	-66.0	0.0	
YDL006W	29.0	0.0	36.0
YDL083C	-57.0	0.0	-16.0
YDL095W	100.0	0.0	32.0
YDL115C	-26.0	0.0	-10.0
YDL143W	28.0		
YDL151C	-34.0	0.0	-7.0
YDR024W	-41.0	0.0	-38.0
YDR025W	-26.0	0.0	-39.0
YDR027C	100.0	0.0	100.0
YDR064W	-22.0		
YDR126W	16.0	0.0	34.0
YDR129C	51.0	0.0	43.0
YDR136C	22.0	0.0	33.0
YDR162C	30.0	15.0	27.0
YDR174W	-15.0	0.0	-9.0
YDR207C	-18.0	0.0	-39.0
YDR226W	-12.0	0.0	-27.0
YDR227W	28.0	0.0	
YDR245W	-33.0	0.0	-36.0
YDR315C	34.0	0.0	21.0
YDR320C	100.0	0.0	100.0
YDR349C	17.0	0.0	42.0
YDR359C	-39.0	0.0	-36.0
YDR364C	-37.0	0.0	
YDR372C	47.0	0.0	30.0
YDR375C	15.0	0.0	19.0
YDR389W	33.0	0.0	15.0
YDR404C	-17.0		
YDR407C	13.0		
YDR432W	69.0	0.0	100.0
YDR448W	31.0	0.0	37.0
YDR483W	100.0	0.0	
YDR484W	100.0	0.0	
YDR523C	-52.0	0.0	
YEL013W	45.0	21.0	35.0
YEL036C	-35.0	0.0	-29.0
YEL042W	100.0	0.0	100.0
YEL046C	55.0	0.0	45.0
YEL053C	44.0	0.0	27.0
YER014C-A	-23.0	0.0	-15.0
YER020W	26.0	0.0	17.0
YER038C	24.0		
YER044C	43.0	0.0	48.0
YER068W	17.0	0.0	68.0
YER074W	-29.0	0.0	-42.0
YER075C	35.0	0.0	37.0
YER125W	41.0		
YER126C	19.0		
YER133W	31.0		
YER140W	18.0	0.0	34.0
YER154W	35.0	0.0	17.0
YFL023W	-15.0	0.0	-57.0
YFL045C	14.0		
YFR040W	27.0	0.0	38.0
YFR043C	45.0	0.0	30.0
YGL007W	37.0	0.0	30.0
YGL012W	27.0	0.0	30.0
YGL027C	100.0	0.0	100.0
YGL054C	29.0	0.0	24.0
YGL099W	11.0		
YGL130W	12.0		
YGL133W	-21.0	0.0	-25.0
YGL145W	13.0		
YGL203C	43.0	0.0	30.0
YGL206C	41.0	0.0	100.0
YGL223C	41.0	0.0	31.0
YGL240W	33.0	0.0	20.0
YGR006W	-48.0	0.0	-3.0
YGR036C	100.0	0.0	25.0
YGR104C	-31.0	0.0	-24.0
YGR159C	-22.0	0.0	-16.0
YGR166W	100.0	0.0	100.0
YGR167W	100.0	0.0	100.0
YGR196C	-19.0	0.0	-21.0
YGR229C	100.0	0.0	100.0
YGR253C	30.0		
YGR263C	16.0	0.0	32.0
YGR270W	26.0	0.0	20.0
YGR279C	16.0	0.0	28.0
YHR011W	30.0	0.0	40.0
YHR041C	-24.0	0.0	-28.0
YHR059W	-27.0	0.0	-16.0
YHR101C	15.0		
YHR103W	23.0	9.0	20.0
YHR203C	-17.0	0.0	-14.0
YIL018W	-18.0	-11.0	-36.0
YIL021W	-18.0		
YIL027C	15.0	20.0	46.0
YIL047C	-26.0	0.0	-45.0
YIL062C	17.0		
YIL069C	-49.0	0.0	-44.0
YIL097W	-16.0	0.0	-15.0
YIL142W	16.0		
YIL143C	14.0		
YIL153W	25.0	0.0	31.0
YJL004C	18.0	0.0	26.0
YJL062W	-14.0	0.0	-19.0
YJL063C	30.0	0.0	27.0
YJL111W	22.0		
YJL117W	17.0	0.0	30.0
YJL127C	20.0	0.0	30.0
YJL128C	-93.0	0.0	-79.0
YJL134W	16.0	0.0	16.0
YJL139C	100.0	0.0	100.0
YJL179W	-33.0	0.0	-17.0
YJL186W	36.0	0.0	19.0
YJL204C	100.0	0.0	100.0
YJR049C	16.0	0.0	30.0
YJR064W	16.0		
YJR065C	18.0		
YJR082C	17.0	0.0	24.0
YJR104C	100.0	0.0	100.0
YJR118C	100.0	0.0	100.0
YJR121W	100.0	0.0	35.0
YJR144W	30.0	0.0	24.0
YKL006W	-15.0	0.0	-45.0
YKL037W	41.0	0.0	33.0
YKL048C	31.0	0.0	42.0
YKL134C	40.0	0.0	21.0
YKL139W	30.0	0.0	42.0
YKL170W	29.0	0.0	19.0
YKL212W	100.0	0.0	100.0
YKR001C	21.0	0.0	32.0
YKR020W	22.0	0.0	32.0
YKR028W	26.0	0.0	25.0
YKR042W	100.0	0.0	100.0
YKR101W	27.0	0.0	20.0
YLL006W	27.0	0.0	34.0
YLL007C	17.0	0.0	33.0
YLL043W	21.0	0.0	35.0
YLR006C	-35.0	0.0	-11.0
YLR048W	-20.0	0.0	-25.0
YLR068W	-20.0	0.0	-16.0
YLR087C	-40.0	0.0	-25.0
YLR088W	13.0		
