ORF	hap alpha | growth (exponential growth rate) | EtOH (ethanol [8%]) | Yoshikawa K~Shimizu H, 2009	hap alpha | growth (exponential growth rate) | sodium chloride [1 M] | Yoshikawa K~Shimizu H, 2009	hap alpha | growth (exponential growth rate) | EtOH (ethanol [5%]) | Yoshikawa K~Shimizu H, 2009
YPL205C	0.311	0.450	0.684
YPL203W	0.371	0.431	0.680
YPL202C	0.398	0.434	0.663
YPL201C	0.367	0.370	0.663
YPL200W	0.365	0.403	0.670
YPL199C	0.378	0.446	0.671
YPL198W	0.381	0.356	0.668
YPL197C	0.376	0.392	0.654
YPL196W	0.349	0.353	0.680
YPL195W	0.371	0.476	0.660
YPL194W	0.387	0.446	0.660
YPL193W	0.368	0.165	0.751
YPL192C	0.377	0.411	0.674
YPL191C	0.370	0.426	0.664
YPL189W	0.388	0.462	0.671
YPL188W	0.359	0.352	0.636
YPL187W	0.350	0.415	0.664
YPL185W	0.369	0.411	0.666
YPL186C	0.368	0.420	0.664
YPL184C	0.309	0.359	0.671
YPL181W	0.336	0.483	0.667
YPL182C	0.375	0.484	0.683
YPL180W	0.268	0.419	0.495
YPL179W	0.352	0.457	0.662
YPL178W	0.287	0.356	0.642
YPL177C	0.359	0.380	0.662
YPL176C	0.363	0.471	0.669
YPL174C	0.306	0.434	0.625
YPL171C	0.385	0.434	0.670
YPL170W	0.390	0.430	0.686
YPL168W	0.377	0.442	0.664
YPL167C	0.376	0.437	0.672
YPL166W	0.374	0.427	0.668
YPL165C	0.366	0.426	0.682
YPL164C	0.367	0.421	0.668
YPL163C	0.375	0.414	0.667
YPL162C	0.355	0.412	0.673
YPL161C	0.332	0.494	0.638
YPL159C	0.367	0.446	0.661
YPL157W	0.320	0.433	0.636
YPL156C	0.352	0.484	0.571
YPL155C	0.383	0.459	0.667
YPL154C	0.387	0.459	0.682
YPL152W	0.381	0.415	0.696
YPL150W	0.292	0.320	0.678
YPL149W	0.384	0.402	0.678
YPL147W	0.397	0.429	0.679
YPL145C	0.404	0.464	0.680
YPL144W	0.369	0.394	0.699
YPL141C	0.385	0.443	0.678
YPL140C	0.383	0.407	0.675
YPL139C	0.370	0.489	0.671
YPL138C	0.404	0.442	0.683
YPL136W	0.394	0.510	0.667
YPL135W	0.397	0.448	0.672
YPL133C	0.372	0.410	0.654
YPL130W	0.383	0.440	0.671
YPL129W	0.169	0.253	0.571
YPL127C	0.389	0.451	0.668
YPL125W	0.301	0.401	0.727
YPL123C	0.374	0.338	0.682
YPL121C	0.406	0.434	0.710
YPL120W	0.294	0.408	0.658
YPL119C	0.402	0.455	0.687
YPL118W	0.335	0.444	0.516
YPL116W	0.371	0.439	0.677
YPL115C	0.399	0.425	0.690
YPL114W	0.337	0.347	0.653
YPL113C	0.371	0.390	0.669
YPL112C	0.384	0.432	0.662
YPL111W	0.398	0.426	0.670
YPL110C	0.400	0.429	0.666
YPL109C	0.380	0.448	0.669
YPL108W	0.399	0.433	0.679
YPL107W	0.359	0.385	0.669
YPL106C	0.388	0.458	0.672
YPL105C	0.377	0.410	0.699
YPL103C	0.367	0.398	0.669
YPL101W	0.361	0.318	0.712
YPL102C	0.391	0.420	0.731
YPL100W	0.337	0.395	0.637
YPL099C	0.373	0.454	0.675
YPL098C	0.363	0.474	0.675
YPL097W	0.352	0.409	0.546
YPL096W	0.410	0.443	0.679
YPL095C	0.386	0.449	0.670
YPL092W	0.386	0.440	0.666
YBR173C	0.378	0.445	0.662
YBR174C	0.410	0.420	0.670
YBR175W	0.373	0.426	0.667
YBR176W	0.387	0.447	0.680
YBR177C	0.402	0.465	0.676
YBR178W	0.405	0.474	0.671
YBR180W	0.409	0.453	0.670
YBR181C	0.441	0.484	0.718
YBR182C	0.404	0.462	0.667
YBR183W	0.395	0.427	0.672
YBR184W	0.386	0.392	0.671
YBR185C	0.377	0.472	0.660
YBR186W	0.402	0.441	0.670
YBR187W	0.394	0.434	0.672
YBR188C	0.404	0.433	0.664
YBR194W	0.434	0.510	0.667
YBR195C	0.447	0.492	0.683
YBR197C	0.396	0.431	0.677
YBR199W	0.413	0.488	0.658
YBR200W	0.203	0.509	0.648
YBR201W	0.407	0.487	0.657
YBR203W	0.400	0.460	0.664
YBR204C	0.397	0.464	0.674
YBR205W	0.392	0.446	0.671
YBR206W	0.397	0.432	0.675
YBR207W	0.390	0.434	0.666
YBR208C	0.353	0.431	0.674
YBR209W	0.399	0.433	0.666
YBR210W	0.390	0.437	0.656
YBR212W	0.396	0.491	0.666
YBR213W	0.393	0.444	0.664
YBR214W	0.399	0.439	0.679
YBR215W	0.374	0.380	0.676
YBR216C	0.406	0.474	0.666
YBR217W	0.375	0.412	0.668
YBR218C	0.361	0.461	0.668
YBR219C	0.380	0.436	0.658
YBR220C	0.407	0.445	0.658
YBR221C	0.366	0.421	0.633
YBR222C	0.382	0.434	0.670
YBR223C	0.373	0.446	0.657
YBR224W	0.373	0.392	0.680
YBR225W	0.369	0.368	0.677
YBR226C	0.365	0.364	0.673
YBR227C	0.382	0.455	0.664
YBR228W	0.391	0.449	0.667
YBR229C	0.355	0.428	0.676
YBR230C	0.385	0.413	0.676
YBR231C	0.329	0.412	0.635
YBR233W	0.398	0.475	0.683
YBR235W	0.387	0.482	0.668
YBR238C	0.375	0.420	0.651
YBR239C	0.391	0.439	0.660
YBR240C	0.378	0.415	0.671
YBR241C	0.387	0.466	0.671
YBR242W	0.394	0.457	0.674
YBR244W	0.404	0.473	0.692
YBR245C	0.382	0.467	0.669
YBR246W	0.374	0.456	0.672
YBR248C	0.409	0.453	0.675
YBR249C	0.344	0.475	0.658
YBR250W	0.399	0.447	0.661
YBR255W	0.395	0.418	0.673
YBR258C	0.398	0.468	0.663
YBR259W	0.404	0.468	0.678
YBR260C	0.406	0.454	0.677
YBR261C	0.410	0.456	0.676
YBR262C	0.406	0.458	0.668
YBR263W	0.415	0.455	0.676
YBR264C	0.408	0.488	0.672
YBR266C	0.447	0.521	0.766
YBR267W	0.445	0.363	0.842
YDR049W	0.363	0.440	0.669
YDR051C	0.395	0.454	0.666
YDR055W	0.394	0.443	0.669
YDR056C	0.395	0.455	0.661
YDR057W	0.354	0.441	0.649
YDR059C	0.395	0.439	0.661
YDR061W	0.386	0.433	0.667
YDR063W	0.390	0.444	0.683
YDR065W	0.322	0.428	0.626
YDR066C	0.375	0.448	0.660
YDR067C	0.362	0.498	0.655
YDR068W	0.390	0.419	0.672
YDR069C	0.295	0.391	0.613
YDR070C	0.402	0.460	0.660
YDR072C	0.382	0.416	0.665
YDR073W	0.395	0.457	0.670
YDR075W	0.335	0.395	0.672
YDR076W	0.366	0.434	0.650
YDR078C	0.376	0.331	0.680
YDR079W	0.300	0.453	0.656
YDR080W	0.245	0.387	0.628
YDR083W	0.423	0.425	0.749
YDR084C	0.397	0.436	0.670
YDR085C	0.407	0.467	0.684
YDR089W	0.384	0.447	0.662
YDR090C	0.384	0.445	0.664
YDR092W	0.394	0.447	0.669
YDR093W	0.397	0.464	0.662
YDR094W	0.385	0.456	0.672
YDR095C	0.388	0.456	0.679
YDR096W	0.394	0.448	0.662
YDR097C	0.386	0.469	0.684
YDR098C	0.409	0.468	0.671
YDR099W	0.383	0.456	0.661
YDR100W	0.388	0.451	0.663
YDR101C	0.403	0.528	0.721
YDR102C	0.403	0.469	0.654
YDR104C	0.399	0.481	0.666
YDR105C	0.385	0.445	0.672
YDR107C	0.395	0.493	0.691
YDR108W	0.324	0.420	0.661
YDR109C	0.384	0.469	0.666
YDR110W	0.391	0.458	0.663
YDR111C	0.405	0.456	0.673
YDR112W	0.400	0.458	0.667
YDR116C	0.350	0.442	0.688
YDR117C	0.390	0.452	0.662
YDR119W	0.399	0.459	0.673
YDR120C	0.363	0.409	0.679
YDR121W	0.298	0.432	0.626
YDR122W	0.390	0.447	0.671
YDR123C	0.386	0.467	0.664
YDR124W	0.371	0.449	0.658
YDR125C	0.391	0.446	0.664
YDR126W	0.311	0.141	0.671
YDR128W	0.394	0.430	0.667
YDR129C	0.017	0.228	0.488
YDR130C	0.395	0.445	0.666
YDR131C	0.379	0.447	0.676
YDR132C	0.404	0.459	0.661
YDR133C	0.380	0.432	0.652
YDR134C	0.373	0.431	0.656
YDR135C	0.372	0.435	0.662
YDR136C	0.235	0.376	0.546
YDR137W	0.234	0.402	0.522
YER055C	0.388	0.441	0.655
YDR139C	0.380	0.426	0.658
YDR140W	0.241	0.402	0.556
YDR142C	0.372	0.456	0.671
YDR143C	0.400	0.447	0.666
YDR144C	0.390	0.446	0.662
YDR146C	0.350	0.445	0.550
YDR338C	0.388	0.442	0.666
YDR340W	0.384	0.430	0.660
YDR344C	0.392	0.461	0.670
YDR345C	0.392	0.490	0.668
YDR346C	0.371	0.442	0.673
YDR348C	0.420	0.458	0.666
YDR349C	0.397	0.457	0.687
YDR351W	0.381	0.452	0.675
YDR352W	0.373	0.449	0.652
YDR354W	0.161	0.449	0.419
YDR357C	0.385	0.426	0.658
YDR358W	0.398	0.460	0.694
YDR359C	0.312	0.298	0.640
YDR360W	0.378	0.434	0.667
YDR363W	0.381	0.476	0.692
YDR368W	0.383	0.472	0.664
YDR370C	0.399	0.455	0.671
YDR371W	0.396	0.455	0.673
YDR372C	0.353	0.477	0.704
YDR374C	0.402	0.470	0.672
YDR378C	0.287	0.399	0.627
YDR379W	0.410	0.476	0.677
YDR380W	0.405	0.456	0.663
YDR382W	0.448	0.503	0.736
YDR383C	0.398	0.453	0.668
YDR384C	0.401	0.477	0.673
YDR385W	0.383	0.451	0.687
YDR386W	0.388	0.465	0.676
YDR387C	0.398	0.470	0.675
YDR389W	0.384	0.433	0.653
YDR391C	0.411	0.460	0.679
YDR392W	0.396	0.404	0.689
YDR393W	0.337	0.432	0.634
YDR395W	0.405	0.455	0.691
YDR399W	0.397	0.426	0.661
YDR400W	0.397	0.471	0.673
YDR401W	0.394	0.441	0.670
YDR402C	0.418	0.441	0.662
YDR403W	0.378	0.426	0.659
YDR406W	0.392	0.439	0.656
YDR408C	0.335	0.424	0.636
YDR409W	0.412	0.474	0.663
YDR410C	0.375	0.407	0.669
YDR411C	0.385	0.451	0.673
YDR414C	0.345	0.576	0.705
YDR415C	0.392	0.442	0.675
YDR418W	0.371	0.446	0.655
YDR419W	0.397	0.440	0.664
YDR420W	0.394	0.443	0.666
YDR421W	0.382	0.442	0.657
YDR422C	0.387	0.435	0.662
YDR423C	0.393	0.460	0.666
YDR425W	0.367	0.439	0.653
YDR426C	0.358	0.433	0.641
YDR428C	0.390	0.455	0.663
YDR430C	0.366	0.442	0.664
YDR431W	0.353	0.443	0.656
YDR432W	0.279	0.439	0.626
YDR433W	0.289	0.455	0.644
YDR435C	0.329	0.442	0.636
YDR436W	0.387	0.480	0.662
YEL001C	0.373	0.454	0.663
YEL003W	0.326	0.399	0.601
YEL005C	0.397	0.464	0.674
YEL006W	0.397	0.455	0.676
YEL007W	0.389	0.427	0.685
YEL008W	0.380	0.463	0.687
YEL009C	0.337	0.472	0.545
YEL010W	0.379	0.459	0.656
YEL013W	0.284	0.419	0.611
YEL014C	0.378	0.433	0.669
YEL015W	0.380	0.444	0.680
YEL016C	0.403	0.456	0.682
YEL017C-A	0.397	0.452	0.679
YEL017W	0.381	0.444	0.675
YEL018W	0.382	0.410	0.670
YEL020C	0.400	0.464	0.687
YEL023C	0.396	0.450	0.673
YEL024W	0.321	0.430	0.613
YEL025C	0.382	0.442	0.654
YEL027W	0.236	0.399	0.517
YEL028W	0.365	0.419	0.698
YEL030W	0.401	0.456	0.672
YEL031W	0.290	0.459	0.636
YEL033W	0.376	0.438	0.670
YER016W	0.342	0.383	0.615
YEL037C	0.387	0.434	0.669
YEL038W	0.360	0.435	0.650
YEL039C	0.376	0.457	0.667
YEL040W	0.395	0.467	0.678
YEL041W	0.397	0.465	0.674
YEL042W	0.313	0.485	0.647
YEL043W	0.358	0.412	0.651
YER028C	0.384	0.453	0.661
YEL045C	0.380	0.419	0.673
YEL046C	0.318	0.373	0.652
YEL047C	0.383	0.426	0.661
YEL048C	0.333	0.467	0.660
YEL049W	0.373	0.454	0.677
YEL050C	0.295	0.408	0.593
YEL051W	0.275	0.372	0.571
YEL052W	0.385	0.417	0.660
YEL053C	0.366	0.424	0.656
YEL054C	0.420	0.424	0.710
YEL056W	0.388	0.432	0.671
YEL057C	0.387	0.456	0.667
YEL059W	0.373	0.447	0.682
YEL060C	0.367	0.438	0.659
YEL061C	0.329	0.507	0.630
YEL062W	0.369	0.444	0.675
YEL063C	0.388	0.470	0.671
YEL064C	0.379	0.429	0.678
YEL065W	0.371	0.443	0.666
YEL066W	0.382	0.443	0.665
YEL067C	0.389	0.444	0.664
YEL068C	0.368	0.471	0.664
YEL071W	0.374	0.469	0.680
YEL072W	0.380	0.454	0.668
YER001W	0.385	0.474	0.684
YER002W	0.403	0.479	0.685
YER004W	0.391	0.476	0.678
YER005W	0.366	0.499	0.680
YER007C-A	0.381	0.448	0.675
YER007W	0.390	0.473	0.668
YER010C	0.372	0.490	0.671
YER011W	0.381	0.435	0.694
YER019W	0.383	0.420	0.641
YER019C-A	0.395	0.451	0.676
YER020W	0.415	0.368	0.690
YER024W	0.405	0.446	0.658
YER030W	0.406	0.458	0.661
YER033C	0.399	0.450	0.673
YER034W	0.393	0.460	0.670
YER035W	0.421	0.456	0.667
YER038W-A	0.148	0.385	0.539
YER040W	0.459	0.501	0.708
YER041W	0.414	0.446	0.680
YER042W	0.402	0.460	0.663
YER044C-A	0.401	0.444	0.667
YER045C	0.408	0.484	0.664
YER046W-A	0.401	0.450	0.663
YER047C	0.382	0.401	0.662
YER048C	0.384	0.430	0.661
YER049W	0.382	0.475	0.664
YER051W	0.402	0.444	0.667
YER053C	0.404	0.418	0.673
YER054C	0.387	0.452	0.654
YER056C	0.359	0.448	0.661
YER056C-A	0.413	0.444	0.658
YER058W	0.339	0.487	0.616
YER059W	0.377	0.473	0.646
YER060W	0.382	0.429	0.675
YER062C	0.373	0.455	0.655
YER065C	0.405	0.460	0.672
YER067W	0.400	0.437	0.665
YER067C-A	0.394	0.397	0.662
YER044C	0.088	0.394	0.304
YER068C-A	0.385	0.434	0.659
YER069W	0.382	0.414	0.664
YER071C	0.388	0.454	0.665
YER072W	0.389	0.492	0.657
YER073W	0.365	0.452	0.664
YER074W	0.408	0.500	0.678
YER075C	0.391	0.457	0.674
YER080W	0.406	0.461	0.660
YER081W	0.371	0.392	0.670
YER083C	0.360	0.348	0.587
YER084W	0.364	0.469	0.652
YER085C	0.378	0.457	0.661
YER086W	0.366	0.456	0.665
YER087W	0.308	0.486	0.606
YER087C-A	0.399	0.457	0.671
YGR123C	0.411	0.482	0.667
YGR124W	0.401	0.472	0.669
YGR125W	0.387	0.472	0.661
YGR126W	0.389	0.486	0.670
YGR127W	0.361	0.461	0.627
YGR129W	0.391	0.448	0.648
YGR130C	0.372	0.433	0.655
YGR131W	0.399	0.456	0.656
YGR132C	0.368	0.444	0.689
YGR133W	0.305	0.460	0.625
YGR135W	0.346	0.496	0.578
YGR136W	0.412	0.493	0.677
YGR137W	0.393	0.456	0.678
YGR138C	0.384	0.450	0.653
YGR139W	0.384	0.455	0.655
YGR141W	0.364	0.358	0.664
YGR142W	0.379	0.457	0.662
YGR143W	0.391	0.463	0.665
YGR144W	0.400	0.467	0.690
YGR146C	0.399	0.477	0.672
YGR148C	0.354	0.412	0.671
YGR149W	0.372	0.421	0.666
YGR151C	0.402	0.445	0.648
YGR152C	0.417	0.493	0.659
YGR153W	0.388	0.451	0.662
YGR154C	0.386	0.462	0.666
YGR157W	0.374	0.561	0.585
YGR159C	0.470	0.674	0.877
YGR160W	0.492	0.677	0.900
YGR161C	0.383	0.441	0.661
YGR163W	0.194	0.456	0.541
YGR164W	0.387	0.449	0.667
YGR165W	0.390	0.452	0.667
YGR166W	0.358	0.497	0.618
YGR168C	0.399	0.495	0.664
YGR169C	0.398	0.469	0.674
YGR170W	0.390	0.421	0.666
YGR173W	0.403	0.453	0.676
YGR176W	0.402	0.459	0.667
YGR177C	0.382	0.436	0.657
YGR178C	0.356	0.461	0.660
YGR181W	0.389	0.447	0.658
YGR182C	0.361	0.460	0.643
YGR183C	0.339	0.469	0.636
YGR184C	0.332	0.467	0.643
YGR187C	0.406	0.410	0.703
YGR189C	0.404	0.483	0.678
YGR192C	0.393	0.483	0.686
YGR193C	0.385	0.453	0.659
YGR194C	0.388	0.462	0.652
YGR196C	0.391	0.431	0.663
YGR197C	0.397	0.466	0.672
YGR199W	0.393	0.460	0.677
YGR200C	0.377	0.428	0.684
YGR202C	0.400	0.423	0.683
YGR203W	0.402	0.471	0.672
YGR205W	0.394	0.449	0.667
YGR206W	0.334	0.455	0.657
YGR207C	0.388	0.456	0.662
YGR208W	0.370	0.394	0.676
YGR209C	0.418	0.462	0.667
YGR212W	0.411	0.496	0.678
YGR213C	0.415	0.450	0.670
YGR214W	0.381	0.410	0.687
YGR217W	0.412	0.434	0.668
YHL047C	0.400	0.336	0.696
YHL046C	0.383	0.363	0.676
YHL045W	0.405	0.326	0.688
YHL044W	0.354	0.444	0.613
YHL043W	0.395	0.337	0.690
YHL040C	0.373	0.312	0.684
YHL037C	0.414	0.353	0.708
YHL036W	0.410	0.329	0.690
YHL035C	0.406	0.346	0.687
YHL034C	0.399	0.381	0.687
YHL033C	0.347	0.355	0.665
YHL032C	0.373	0.346	0.675
YHL031C	0.356	0.434	0.661
YHL028W	0.400	0.388	0.678
YHL027W	0.372	0.346	0.677
YHL026C	0.408	0.463	0.670
YHL023C	0.388	0.448	0.673
YHL022C	0.406	0.388	0.670
YHL020C	0.392	0.450	0.656
YHL019C	0.407	0.374	0.687
YHL017W	0.389	0.433	0.676
YHL014C	0.376	0.410	0.663
YHL013C	0.357	0.352	0.665
YHL012W	0.370	0.430	0.678
YHL010C	0.352	0.436	0.617
YHL009C	0.403	0.380	0.683
YHL008C	0.409	0.411	0.674
YHL006C	0.383	0.375	0.687
YHR001W-A	0.385	0.411	0.682
YHR012W	0.382	0.455	0.643
YHR013C	0.266	0.402	0.596
YHR014W	0.383	0.450	0.673
YHR015W	0.359	0.437	0.673
YHR018C	0.373	0.466	0.671
YHR021C	0.329	0.468	0.656
YHR022C	0.406	0.354	0.673
YHR028C	0.400	0.470	0.666
YHR029C	0.357	0.379	0.625
YHR030C	0.367	0.381	0.671
YHR031C	0.421	0.312	0.698
YHR033W	0.399	0.380	0.681
YHR034W	0.285	0.476	0.641
YHR035W	0.405	0.440	0.678
YHR037W	0.394	0.376	0.660
YHR038W	0.354	0.438	0.602
YHR039C	0.388	0.450	0.662
YHR043C	0.390	0.419	0.674
YHR044C	0.387	0.469	0.668
YHR046C	0.384	0.441	0.680
YHR047C	0.365	0.416	0.666
YHR048W	0.375	0.431	0.688
YHR049W	0.381	0.399	0.658
YHR049C-A	0.391	0.374	0.662
YHR050W	0.416	0.424	0.668
YHR057C	0.393	0.420	0.674
YHR060W	0.273	0.390	0.572
YHR061C	0.412	0.411	0.672
YHR066W	0.403	0.399	0.683
YHR073W	0.420	0.446	0.678
YHR075C	0.372	0.383	0.700
YHR076W	0.381	0.411	0.686
YHR077C	0.382	0.426	0.650
YHR078W	0.395	0.450	0.662
YHR079C	0.351	0.459	0.657
YHR080C	0.374	0.436	0.685
YHR081W	0.391	0.442	0.676
YHR082C	0.381	0.417	0.665
YHR086W	0.346	0.377	0.689
YHR087W	0.391	0.442	0.706
YHR092C	0.375	0.379	0.676
YHR093W	0.381	0.410	0.680
YHR094C	0.401	0.431	0.700
YHR095W	0.406	0.437	0.667
YHR096W	0.388	0.431	0.666
YHR097C	0.387	0.440	0.665
YHR100C	0.358	0.460	0.665
YHR103W	0.370	0.430	0.675
YHR104W	0.379	0.418	0.669
YHR105W	0.397	0.447	0.672
YHR106W	0.367	0.370	0.694
YHR108W	0.357	0.326	0.682
YHR109W	0.385	0.443	0.669
YHR110W	0.394	0.386	0.688
YHR111W	0.427	0.339	0.704
YHR112C	0.373	0.434	0.664
YHR113W	0.392	0.423	0.668
YHR114W	0.397	0.439	0.678
YHR115C	0.409	0.383	0.715
YHR116W	0.322	0.417	0.628
YHR117W	0.393	0.360	0.712
YHR121W	0.376	0.405	0.688
YHR123W	0.384	0.443	0.653
YHR124W	0.381	0.363	0.687
YHR125W	0.376	0.388	0.679
YHR126C	0.378	0.343	0.707
YHR129C	0.349	0.448	0.646
YHR130C	0.388	0.455	0.748
YHR132C	0.392	0.428	0.699
YHR133C	0.391	0.427	0.668
YHR134W	0.370	0.437	0.661
YHR135C	0.375	0.418	0.665
YHR136C	0.395	0.441	0.660
YHR137W	0.387	0.453	0.664
YHR138C	0.390	0.429	0.666
YHR139C	0.376	0.409	0.699
YHR139C-A	0.417	0.457	0.676
YHR142W	0.363	0.369	0.657
YHR143W	0.422	0.460	0.683
YHR151C	0.400	0.392	0.678
YHR152W	0.379	0.400	0.683
YHR153C	0.391	0.394	0.686
YHR154W	0.358	0.444	0.662
YHR155W	0.402	0.456	0.681
YHR156C	0.378	0.457	0.671
YHR157W	0.417	0.467	0.680
YHR158C	0.420	0.460	0.688
YHR159W	0.388	0.423	0.672
YHR160C	0.371	0.428	0.674
YHR161C	0.359	0.403	0.677
YHR163W	0.387	0.445	0.659
YHR167W	0.164	0.320	0.404
YHR178W	0.382	0.463	0.660
YHR179W	0.368	0.439	0.687
YHR182W	0.402	0.300	0.694
YHR183W	0.425	0.499	0.647
YHR184W	0.386	0.422	0.666
YHR189W	0.304	0.403	0.641
YHR195W	0.368	0.439	0.668
YHR198C	0.346	0.408	0.668
YHR199C	0.398	0.436	0.678
YHR200W	0.387	0.405	0.659
YHR202W	0.390	0.453	0.684
YHR203C	0.440	0.497	0.690
YHR204W	0.392	0.420	0.669
YHR206W	0.399	0.459	0.680
YHR207C	0.386	0.459	0.669
YHR209W	0.386	0.434	0.676
YHR210C	0.377	0.416	0.682
YCL001W	0.352	0.453	0.685
YCL002C	0.404	0.479	0.677
YCL003W	0.392	0.443	0.669
YCL005W	0.378	0.450	0.686
YCL007C	0.340	0.411	0.652
YCL008C	0.263	0.315	0.578
YCL009C	0.386	0.439	0.690
YCL011C	0.405	0.431	0.666
YCL012W	0.398	0.466	0.676
YCL013W	0.405	0.457	0.683
YCL014W	0.404	0.479	0.658
YCL016C	0.367	0.435	0.674
YCL024W	0.426	0.464	0.678
YCL025C	0.406	0.447	0.678
YCL026C	0.399	0.441	0.675
YCL027W	0.361	0.395	0.676
YCL028W	0.395	0.411	0.677
YCL029C	0.392	0.466	0.663
YCL033C	0.400	0.455	0.674
YCL034W	0.394	0.468	0.679
YCL036W	0.395	0.455	0.691
YCL037C	0.375	0.363	0.702
YCL039W	0.356	0.427	0.665
YCL040W	0.391	0.460	0.670
YCL042W	0.401	0.479	0.670
YCL044C	0.368	0.459	0.657
YCL045C	0.370	0.461	0.666
YCL046W	0.365	0.469	0.668
YCL047C	0.386	0.463	0.671
YCL048W	0.413	0.519	0.657
YCL049C	0.389	0.471	0.678
YCL050C	0.376	0.458	0.670
YCL051W	0.377	0.472	0.665
YCL055W	0.382	0.459	0.650
YCL056C	0.374	0.467	0.662
YCL057W	0.360	0.512	0.662
YCL060C	0.365	0.471	0.646
YCL061C	0.373	0.489	0.663
YCL062W	0.346	0.450	0.639
YCL063W	0.358	0.494	0.647
YCL064C	0.384	0.480	0.653
YCL069W	0.368	0.372	0.674
YCR001W	0.368	0.454	0.661
YCR004C	0.374	0.481	0.658
YCR005C	0.363	0.451	0.665
YCR006C	0.363	0.464	0.662
YCR007C	0.382	0.472	0.664
YCR008W	0.366	0.331	0.659
YCR009C	0.355	0.211	0.658
YCR010C	0.382	0.483	0.660
YCR011C	0.389	0.504	0.657
YCR014C	0.370	0.486	0.651
YCR015C	0.377	0.462	0.670
YCR016W	0.381	0.463	0.668
YCR017C	0.354	0.491	0.672
YCR019W	0.379	0.487	0.663
YCR020C	0.401	0.495	0.662
YCR020C-A	0.341	0.489	0.661
YCR021C	0.397	0.453	0.672
YCR022C	0.404	0.428	0.672
YCR023C	0.398	0.470	0.664
YLR420W	0.398	0.507	0.662
YLR451W	0.408	0.469	0.672
YLR126C	0.403	0.448	0.664
YLR128W	0.391	0.471	0.668
YLR130C	0.397	0.462	0.676
YLR131C	0.388	0.439	0.641
YLR133W	0.378	0.395	0.687
YLR134W	0.395	0.462	0.679
YLR135W	0.384	0.448	0.668
YLR136C	0.386	0.447	0.661
YLR137W	0.405	0.460	0.653
YLR138W	0.393	0.480	0.678
YLR142W	0.387	0.460	0.672
YLR143W	0.379	0.469	0.658
YLR149C	0.407	0.448	0.690
YLR150W	0.412	0.510	0.686
YLR151C	0.393	0.455	0.675
YLR152C	0.382	0.435	0.654
YLR154C	0.391	0.404	0.657
YLR164W	0.378	0.449	0.660
YLR165C	0.387	0.446	0.665
YLR168C	0.356	0.429	0.664
YLR169W	0.365	0.427	0.663
YLR170C	0.378	0.431	0.676
YLR171W	0.378	0.425	0.657
YLR172C	0.349	0.417	0.663
YLR173W	0.387	0.450	0.648
YLR174W	0.388	0.437	0.668
YLR176C	0.392	0.439	0.647
YLR177W	0.393	0.455	0.655
YLR178C	0.411	0.454	0.676
YLR179C	0.373	0.454	0.673
YLR180W	0.394	0.435	0.671
YLR181C	0.373	0.442	0.674
YLR182W	0.255	0.409	0.597
YLR183C	0.370	0.408	0.672
YLR184W	0.416	0.517	0.667
YLR185W	0.358	0.445	0.640
YLR187W	0.389	0.452	0.670
YLR188W	0.382	0.432	0.664
YLR189C	0.391	0.433	0.671
YLR190W	0.380	0.430	0.666
YLR191W	0.354	0.433	0.660
YLR193C	0.378	0.384	0.678
YLR194C	0.394	0.366	0.681
YLR199C	0.381	0.430	0.669
YLR200W	0.240	0.290	0.581
YLR204W	0.250	0.314	0.637
YLR205C	0.389	0.442	0.673
YLR206W	0.403	0.457	0.675
YLR207W	0.422	0.443	0.678
YLR209C	0.412	0.473	0.680
YLR210W	0.394	0.389	0.671
YLR211C	0.398	0.453	0.662
YLR213C	0.399	0.457	0.673
YLR214W	0.376	0.418	0.670
YLR216C	0.365	0.434	0.660
YLR217W	0.386	0.489	0.670
YLR218C	0.351	0.443	0.665
YLR219W	0.402	0.455	0.680
YLR220W	0.418	0.451	0.694
YLR221C	0.471	0.554	0.801
YLR224W	0.399	0.429	0.674
YLR225C	0.402	0.453	0.671
YLR227C	0.396	0.462	0.677
YKL001C	0.383	0.496	0.674
YKL006W	0.323	0.426	0.677
YKL007W	0.300	0.401	0.670
YKL008C	0.385	0.456	0.680
YKL009W	0.396	0.443	0.677
YKL010C	0.378	0.441	0.670
YKL011C	0.348	0.411	0.638
YKL015W	0.397	0.442	0.665
YKL017C	0.385	0.442	0.663
YKL020C	0.394	0.415	0.678
YKL023W	0.377	0.451	0.674
YKL025C	0.400	0.461	0.677
YKL026C	0.392	0.467	0.655
YKL027W	0.397	0.460	0.673
YKL029C	0.402	0.471	0.668
YKL031W	0.391	0.439	0.670
YKL032C	0.356	0.459	0.643
YKL034W	0.395	0.476	0.662
YKL037W	0.328	0.460	0.482
YKL038W	0.395	0.455	0.672
YKL039W	0.392	0.436	0.673
YKL040C	0.380	0.436	0.667
YKL041W	0.296	0.427	0.589
YKL043W	0.389	0.458	0.667
YKL044W	0.380	0.437	0.673
YKL046C	0.385	0.433	0.665
YKL047W	0.380	0.439	0.664
YKL048C	0.357	0.476	0.663
YKL050C	0.381	0.440	0.674
YKL051W	0.398	0.437	0.688
YKL053W	0.339	0.360	0.666
YKL054C	0.364	0.380	0.636
YKL055C	0.328	0.457	0.600
YKL056C	0.380	0.423	0.666
YKL057C	0.329	0.462	0.599
YKL061W	0.394	0.449	0.651
YKL062W	0.379	0.444	0.655
YKL063C	0.375	0.433	0.659
