orf	hap alpha | growth (streaks on agar) | ethylenediaminetetraacetic acid [1 mM] | Wang J~Zhou B, 2007	hap alpha | growth (streaks on agar) | copper(II) sulfate [4mM] | Wang J~Zhou B, 2007	hap alpha | growth (streaks on agar) | iron sulfate pentahydrate [5 mM] | Wang J~Zhou B, 2007	hap alpha | growth (streaks on agar) | manganese(II) chloride [2 mM] | Wang J~Zhou B, 2007	hap alpha | growth (streaks on agar) | zinc sulfate [2 mM] | Wang J~Zhou B, 2007
YAL009W	-8.86196833432735	0.0	0.0	-10.671222985206523	-9.018829509104034
YBR036C	0.0	0.0	0.0	-21.342445970413046	0.0
YBR145W	0.0	0.0	-22.496913368529274	0.0	0.0
YCR084C	-17.7239366686547	0.0	0.0	0.0	0.0
YDL006W	-17.7239366686547	-42.68489194082609	0.0	-21.342445970413046	-18.037659018208068
YDL047W	0.0	0.0	-22.496913368529274	0.0	0.0
YDR111C	-8.86196833432735	0.0	0.0	0.0	0.0
YDR129C	-17.7239366686547	0.0	0.0	0.0	-9.018829509104034
YDR202C	0.0	0.0	0.0	-10.671222985206523	-9.018829509104034
YDR391C	-8.86196833432735	0.0	0.0	0.0	0.0
YDR392W	-8.86196833432735	0.0	0.0	0.0	0.0
YDR493W	-17.7239366686547	0.0	0.0	0.0	-9.018829509104034
YDR495C	-8.86196833432735	0.0	0.0	0.0	-18.037659018208068
YEL007W	-17.7239366686547	0.0	0.0	0.0	0.0
YFL031W	-8.86196833432735	0.0	0.0	0.0	0.0
YFL032W	-8.86196833432735	0.0	0.0	0.0	0.0
YGL012W	0.0	0.0	0.0	-21.342445970413046	0.0
YGL025C	-17.7239366686547	0.0	0.0	0.0	0.0
YGL095C	-8.86196833432735	0.0	-22.496913368529274	0.0	-18.037659018208068
YGL124C	-8.86196833432735	0.0	0.0	0.0	-18.037659018208068
YJL117W	0.0	0.0	-44.99382673705855	-10.671222985206523	-9.018829509104034
YJR033C	0.0	0.0	0.0	-21.342445970413046	-18.037659018208068
YJR102C	0.0	0.0	0.0	0.0	-9.018829509104034
YKL041W	0.0	0.0	0.0	0.0	-9.018829509104034
YKL178C	0.0	0.0	0.0	-21.342445970413046	0.0
YKR001C	-8.86196833432735	0.0	0.0	-10.671222985206523	-9.018829509104034
YKR020W	-8.86196833432735	0.0	0.0	-21.342445970413046	-18.037659018208068
YLR362W	-17.7239366686547	0.0	0.0	0.0	-18.037659018208068
YLR418C	-8.86196833432735	0.0	0.0	0.0	0.0
YML001W	0.0	0.0	0.0	0.0	-9.018829509104034
YMR023C	-8.86196833432735	0.0	0.0	0.0	0.0
YMR116C	-8.86196833432735	-21.342445970413046	0.0	0.0	0.0
YNL037C	-17.7239366686547	0.0	0.0	0.0	0.0
YNL197C	-17.7239366686547	0.0	0.0	-10.671222985206523	-9.018829509104034
YNR006W	0.0	0.0	0.0	0.0	-18.037659018208068
YNR025C	0.0	-42.68489194082609	-22.496913368529274	-21.342445970413046	-18.037659018208068
YOL051W	-17.7239366686547	0.0	0.0	0.0	-9.018829509104034
YOL067C	-8.86196833432735	0.0	0.0	0.0	0.0
YOL075C	-8.86196833432735	0.0	0.0	0.0	0.0
YOR026W	0.0	-21.342445970413046	0.0	-10.671222985206523	-9.018829509104034
YOR036W	0.0	0.0	0.0	0.0	-18.037659018208068
YPL045W	-8.86196833432735	0.0	0.0	-10.671222985206523	0.0
YPL057C	0.0	0.0	0.0	-21.342445970413046	0.0
YPL069C	-8.86196833432735	0.0	0.0	0.0	0.0
YPR173C	0.0	0.0	-22.496913368529274	-10.671222985206523	-18.037659018208068
