^SAMPLE = GSM30549
!Sample_title = No benomyl
!Sample_geo_accession = GSM30549
!Sample_status = Public on Nov 05 2004
!Sample_submission_date = Sep 13 2004
!Sample_last_update_date = May 27 2005
!Sample_type = RNA
!Sample_channel_count = 2
!Sample_source_name_ch1 = no benomyl
!Sample_organism_ch1 = Saccharomyces cerevisiae
!Sample_taxid_ch1 = 4932
!Sample_molecule_ch1 = total RNA
!Sample_source_name_ch2 = no benomyl
!Sample_organism_ch2 = Saccharomyces cerevisiae
!Sample_taxid_ch2 = 4932
!Sample_molecule_ch2 = total RNA
!Sample_description = A pool of 5,896 haploid-convertible heterozygous diploid yeast knockout (YKO) strains were sporulated.
!Sample_description = A pool of isogenic haploid MATa cells were obtained by selection on a magic medium without the drug benomyl at 30 degree for 2 days.
!Sample_description = Genomic DNA was prepared from this pool of freshly generated haploid cells and used as the template for PCR amplification of the TAGs identifying the YKOs with a pair of primers universal for either Uptags or Downtags.
!Sample_description = The PCR products from sample1 or sample2 were differentially labeled with Cy5 or Cy3.
!Sample_description = The Cy5- and Cy3-labeled Uptags and Downtags were mixed together and hybridized to a Hopkins-TagArray.
!Sample_description = Fluorescent array images were collected for both Cy5 and Cy3 with a GenePix4000B microarray scanner.
!Sample_description = The image data was annalyzed with a GenePix5.1 program.
!Sample_description = Keywords = benomyl, heterozygote, YKO
!Sample_platform_id = GPL1444
!Sample_contact_name = Xuewen,,Pan
!Sample_contact_email = xpan2@jhmi.edu
!Sample_contact_phone = 410-955-2477
!Sample_contact_laboratory = Boeke Lab
!Sample_contact_department = Department of Molecular Biology and Genetics
!Sample_contact_institute = Johns Hopkins University School of Medicine
!Sample_contact_address = 733 N. Broadway, Room 331
!Sample_contact_city = Baltimore
!Sample_contact_state = MD
!Sample_contact_zip/postal_code = 21205
!Sample_contact_country = USA
!Sample_supplementary_file = ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM30nnn/GSM30549/suppl/GSM30549_cy3.tif.gz
!Sample_supplementary_file = ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM30nnn/GSM30549/suppl/GSM30549_cy5.tif.gz
!Sample_series_id = GSE1752
!Sample_series_id = GSE1838
!Sample_data_row_count = 22575
#ID_REF = Serial identifier for probe
#F635_Median = Cy5 (F635) median fluorescence intensity
#B635_Median = Cy5 (F635) background median fluorescence intensity
#F532_Median = Cy3 (F532) median fluorescence intensity
#B532_Median = Cy3 (F532) background median fluorescence intensity
#F635-B635_Median = Background substracted Cy5 (F635) median fluorescence intensity
#F532-B532_Median = Background substracted Cy3 (F532) median fluorescence intensity
#VALUE = log ratio (log2 of PRE_VALUE)
#Flags =  
#PRE_VALUE = Normalized ratio defined by F635-B635_Median/F532-B532_Median
!sample_table_begin
ID_REF	F635_Median	B635_Median	F532_Median	B532_Median	F635-B635_Median	F532-B532_Median	VALUE	Flags	PRE_VALUE
1	418	52	456	69	366	387	0.7655353	-50	1.70
2	815	52	1518	72	763	1446	-0.0740013	0	0.95
3	58	51	195	75	7	120	-3.1844253	-50	0.11
4	8634	56	14724	74	8578	14650	0.0703893	0	1.05
5	67	56	108	77	11	31	-0.6438563	-50	0.64
6	2111	53	7255	72	2058	7183	-0.9434163	0	0.52
7	3912	58	6956	76	3854	6880	0.0143553	0	1.01
8	7099	56	13783	80	7043	13703	-0.1046973	0	0.93
9	2198	54	2740	78	2144	2662	0.5360533	0	1.45
10	3031	56	5751	70	2975	5681	-0.0892673	0	0.94
11	549	51	969	74	498	895	0.0000003	0	1.00
12	996	54	1450	71	942	1379	0.2986583	0	1.23
13	15857	53	29742	74	15804	29668	-0.0588943	0	0.96
14	6918	53	14037	74	6865	13963	-0.1844253	0	0.88
15	279	47	255	73	232	182	1.1953483	-50	2.29
16	134	60	191	72	74	119	0.1634993	-50	1.12
17	5810	54	8023	78	5756	7945	0.3785123	0	1.30
18	4718	53	6395	69	4665	6326	0.4114263	0	1.33
19	4634	52	7010	69	4582	6941	0.2509623	0	1.19
20	2076	56	3418	76	2020	3342	0.1243283	0	1.09
21	8430	59	15233	76	8371	15157	-0.0145003	0	0.99
22	2095	58	3019	77	2037	2942	0.3219283	0	1.25
23	15054	53	30187	73	15001	30114	-0.1520033	0	0.90
24	58	50	93	68	8	25	-0.7858753	-50	0.58
25	1822	53	3901	75	1769	3826	-0.2688173	0	0.83
26	2179	56	2634	77	2123	2557	0.5753123	0	1.49
27	5812	55	19999	78	5757	19921	-0.9434163	0	0.52
28	3977	51	8090	71	3926	8019	-0.1844253	0	0.88
29	7716	54	14519	73	7662	14446	-0.0740013	0	0.95
30	2290	52	4462	69	2238	4393	-0.1202943	0	0.92
31	146	60	171	78	86	93	0.7311833	-50	1.66
32	147	72	174	90	75	84	0.6870613	-50	1.61
33	412	57	664	75	355	589	0.1110313	-50	1.08
34	72	59	118	81	13	37	-0.6665763	-50	0.63
35	131	64	497	87	67	410	-1.7858753	-50	0.29
36	211	61	168	85	150	83	1.7004403	-50	3.25
37	9591	63	15948	85	9528	15863	0.1110313	0	1.08
38	21068	57	40107	75	21011	40032	-0.0892673	0	0.94
39	126	59	133	77	67	56	1.1043373	-50	2.15
40	3125	58	5628	77	3067	5551	-0.0145003	0	0.99
41	2516	56	3653	77	2460	3576	0.3103403	0	1.24
42	335	58	439	78	277	361	0.4646683	-50	1.38
43	4626	53	8774	77	4573	8697	-0.0740013	0	0.95
44	118	58	169	74	60	95	0.1890343	-50	1.14
45	2115	55	5348	72	2060	5276	-0.5145733	0	0.70
46	73	53	152	84	20	68	-0.9159363	-50	0.53
47	7232	55	14465	80	7177	14385	-0.1520033	0	0.90
48	14203	55	24636	78	14148	24558	0.0565843	0	1.04
49	594	60	1088	75	534	1013	-0.0740013	0	0.95
