ORF	hap a | growth (MIC) | gentamicin (gentamycin [256 ug/ml]) | Blackburn AS~Avery SV, 2003	hap a | growth (MIC) | oxytetracycline [256 ug/ml] | Blackburn AS~Avery SV, 2003	hap a | growth (MIC) | tetracycline [256 ug/ml] | Blackburn AS~Avery SV, 2003	hap a | growth (MIC) | amoxicillin [256 ug/ml] | Blackburn AS~Avery SV, 2003	hap a | growth (MIC) | benzylpenicillin [256 ug/ml] | Blackburn AS~Avery SV, 2003	hap a | growth (MIC) | rifampicin [256 ug/ml] | Blackburn AS~Avery SV, 2003	hap a | growth (MIC) | vancomycin [256 ug/ml] | Blackburn AS~Avery SV, 2003
YBR097W	32.000	5120.000	5120.000	5120.000	5120.000	5120.000	5120.000
YLR240W	32.000	5120.000	5120.000	5120.000	5120.000	5120.000	5120.000
YBL033C	64.000	5120.000	5120.000	5120.000	5120.000	5120.000	5120.000
YDR523C	64.000	5120.000	5120.000	5120.000	5120.000	5120.000	5120.000
YGR285C	64.000	5120.000	5120.000	5120.000	5120.000	5120.000	5120.000
YGL206C	64.000	5120.000	5120.000	5120.000	5120.000	5120.000	5120.000
YLR148W	64.000	5120.000	5120.000	5120.000	5120.000	5120.000	5120.000
YLR396C	64.000	5120.000	5120.000	5120.000	5120.000	5120.000	5120.000
YMR231W	64.000	5120.000	5120.000	5120.000	5120.000	5120.000	5120.000
YPL045W	64.000	5120.000	5120.000	5120.000	5120.000	5120.000	5120.000
YPL050C	64.000	5120.000	5120.000	5120.000	5120.000	5120.000	5120.000
YKL212W	128.000	5120.000	5120.000	5120.000	5120.000	5120.000	5120.000
YDR027C	256.000	5120.000	5120.000	5120.000	5120.000	5120.000	5120.000
YDR455C	256.000	5120.000	5120.000	5120.000	5120.000	5120.000	5120.000
YGR036C	512.000	5120.000	5120.000	5120.000	5120.000	5120.000	5120.000
YDL226C	512.000	5120.000	5120.000	5120.000	5120.000	5120.000	5120.000
YNL192W	512.000	5120.000	5120.000	5120.000	5120.000	5120.000	5120.000
YER044C	5120.000	128.000	128.000	5120.000	5120.000	5120.000	5120.000
YOL086C	5120.000	256.000	256.000	5120.000	5120.000	5120.000	5120.000
YJR104C	5120.000	512.000	5120.000	5120.000	5120.000	5120.000	5120.000
YMR021C	5120.000	512.000	5120.000	5120.000	5120.000	5120.000	5120.000
