orf	hap a | growth (MIC) | gentamicin (gentamycin [256 ug/ml]) | Blackburn AS~Avery SV, 2003	hap a | growth (MIC) | oxytetracycline [256 ug/ml] | Blackburn AS~Avery SV, 2003	hap a | growth (MIC) | tetracycline [256 ug/ml] | Blackburn AS~Avery SV, 2003	hap a | growth (MIC) | amoxicillin [256 ug/ml] | Blackburn AS~Avery SV, 2003	hap a | growth (MIC) | benzylpenicillin [256 ug/ml] | Blackburn AS~Avery SV, 2003	hap a | growth (MIC) | rifampicin [256 ug/ml] | Blackburn AS~Avery SV, 2003	hap a | growth (MIC) | vancomycin [256 ug/ml] | Blackburn AS~Avery SV, 2003
YBL033C	-18.769977035539814	0.0	0.0	0.0	0.0	0.0	0.0
YBR097W	-19.89057267945264	0.0	0.0	0.0	0.0	0.0	0.0
YDL226C	-3.081638020760268	0.0	0.0	0.0	0.0	0.0	0.0
YDR027C	-12.046403172062865	0.0	0.0	0.0	0.0	0.0	0.0
YDR455C	-12.046403172062865	0.0	0.0	0.0	0.0	0.0	0.0
YDR523C	-18.769977035539814	0.0	0.0	0.0	0.0	0.0	0.0
YER044C	0.0	-53.33876684753319	-54.536205850727015	0.0	0.0	0.0	0.0
YGL206C	-18.769977035539814	0.0	0.0	0.0	0.0	0.0	0.0
YGR036C	-3.081638020760268	0.0	0.0	0.0	0.0	0.0	0.0
YGR285C	-18.769977035539814	0.0	0.0	0.0	0.0	0.0	0.0
YJR104C	0.0	-9.944515852929918	0.0	0.0	0.0	0.0	0.0
YKL212W	-16.528785747714164	0.0	0.0	0.0	0.0	0.0	0.0
YLR148W	-18.769977035539814	0.0	0.0	0.0	0.0	0.0	0.0
YLR240W	-19.89057267945264	0.0	0.0	0.0	0.0	0.0	0.0
YLR396C	-18.769977035539814	0.0	0.0	0.0	0.0	0.0	0.0
YMR021C	0.0	-9.944515852929918	0.0	0.0	0.0	0.0	0.0
YMR231W	-18.769977035539814	0.0	0.0	0.0	0.0	0.0	0.0
YNL192W	-3.081638020760268	0.0	0.0	0.0	0.0	0.0	0.0
YOL086C	0.0	-38.87401651599877	-39.746726297987486	0.0	0.0	0.0	0.0
YPL045W	-18.769977035539814	0.0	0.0	0.0	0.0	0.0	0.0
YPL050C	-18.769977035539814	0.0	0.0	0.0	0.0	0.0	0.0
