ORF	Gene	Log2 fitness
YDR269C	CCC2	-4.8
YER145C	FTR1	-4.7
YNL259C	ATX1	-4.6
YPL170W	DAP1	-4.3
YDR455C	NHX1	-4.3
YMR058W	FET3	-3.9
YPL182C	CTI6	-3.7
YPL181W	CTI6	-3.7
YJR040W	GEF1	-3.6
YKR052C	MRS4	-3.5
YJR033C	RAV1	-3.5
YCL008C	STP22	-3.4
YPL065W	VPS28	-3.3
YHL020C	OPI1	-3.3
YMR054W	STV1	-3.2
YLR025W	SNF7	-3.2
YIR033W	MGA2	-3.1
YKR019C	IRS4	-3.0
YGL045W	RIM8	-3.0
YBR164C	ARL1	-2.9
YPL139C	UME1	-2.9
YHR045W		-2.7
YJL211C	PEX2	-2.7
YLR417W	VPS36	-2.7
YJR102C	VPS25	-2.7
YHL027W	RIM101	-2.6
YDR203W	RAV2	-2.6
YJL004C	SYS1	-2.6
YDR202C	RAV2	-2.6
YNL294C	RIM21	-2.1
YCR033W	SNT1	-2.1
YGL212W	VAM7	-2.1
YDR456W	NHX1	-2.1
YNL041C	COG6	-2.1
YKR029C	SET3	-2.1
YLR191W	PEX13	-2.1
YCR079W		-2.1
YAL024C	LTE1	-2.0
YPL051W	ARL3	-2.0
YGR077C	PEX8	-2.0
YOL081W	IRA2	-2.0
YLR176C	RFX1	-2.0
YLR085C	ARP6	-2.0
YDL226C	GCS1	-2.0
YHR200W	RPN10	-2.0
YBR058C	UBP14	-2.0
YLR119W	SRN2	-2.0
YJL204C	RCY1	-2.0
YIL065C	FIS1	-1.9
YDR048C		-1.9
YDR349C	YPS7	-1.9
YJL095W	BCK1	-1.9
YJL024C	APS3	-1.9
YGL005C	COG7	-1.8
YPR173C	VPS4	-1.8
YMR258C		-1.8
YDR484W	VPS52	-1.8
YDR334W	SWR1	-1.8
YMR183C	SSO2	-1.8
YOR123C	LEO1	-1.8
YLR027C	AAT2	-1.7
YMR077C	VPS20	-1.7
YDR049W		-1.7
YOR030W	DFG16	-1.7
YBR231C	SWC5	-1.7
YOR323C	PRO2	-1.7
YDR335W	MSN5	-1.7
YPL120W	VPS30	-1.7
YGR133W	PEX4	-1.7
YJL155C	FBP26	-1.7
YDR270W	CCC2	-1.7
YJL027C		-1.6
YMR214W	SCJ1	-1.6
YHR206W	SKN7	-1.3
YEL037C	RAD23	-1.3
YJL164C	TPK1	-1.3
YBR103W	SIF2	-1.3
YJL130C	URA2	-1.3
YER073W	ALD5	-1.3
YDR162C	NBP2	-1.3
YBR105C	VID24	-1.3
YJL209W	CBP1	-1.3
YIR009W	MSL1	-1.3
YGL012W	ERG4	-1.3
YDR149C	NUM1	-1.2
YFL049W		-1.2
YCR050C		-1.2
YJR043C	POL32	-1.2
YHR004C	NEM1	-1.2
YLR087C	CSF1	-1.2
YLR056W	ERG3	-1.2
YLR204W	QRI5	-1.2
YBR174C		-1.2
YDL077C	VAM6	-1.2
YER019W	ISC1	-1.2
YOR297C	TIM18	-1.2
