orf	hap a | abundance of caesium (gamma-counter) | caesium chloride [50 uM], Cs-134 [4 kBq/ml] | YPD | Heuck S~Kanter U, 2010	hap a | abundance of strontium (gamma-counter) | strontium dichloride [50 uM], Sr-85 [4 kBq/ml] | YPD | Heuck S~Kanter U, 2010
YDR220C	0.69	-0.07
YDR221W	-0.28	0.29
YDR222W	0.19	-0.18
YDR223W	-0.59	-0.95
YDR225W	3.14	1.91
YDR226W		
YDR227W	0.0	-0.58
YDR229W	-0.35	-0.55
YDR230W	-0.51	-0.31
YDR231C	-0.33	-0.38
YDR233C	0.18	-0.12
YDR234W	-0.51	-0.67
YDR237W	2.28	1.81
YDR239C	-0.37	-0.21
YDR241W	0.31	-1.59
YDR242W	-0.36	-0.49
YDR244W	1.22	2.5
YDR245W		
YDR247W	0.13	1.08
YDR248C	-1.28	-1.53
YDR249C	-1.38	-1.82
YDR250C	-1.26	-1.65
YDR251W	-0.47	-1.14
YDR252W	-0.8	-1.14
YDR253C	0.11	-0.43
YDR254W	-0.05	-0.72
YDR255C	-1.4	-0.07
YDR256C	-0.56	-1.31
YDR257C	0.72	1.67
YDR258C	-0.55	-1.12
YDR259C	-1.37	-1.48
YDR260C	-0.75	-1.91
YDR261C	-0.44	-0.97
YDR262W	0.98	0.25
YDR263C	-0.16	-0.48
YDR264C	3.5	3.36
YDR265W	1.26	2.76
YDR266C	-0.04	-0.16
YDR268W	-0.49	-0.92
YDR269C	-0.15	1.12
YDR270W	-0.41	-0.19
YDR271C	-0.5	0.86
YDR272W	-0.56	-0.95
YDR273W	-1.01	-0.92
YDR274C	-1.58	-1.93
YDR275W	-0.26	-0.65
YDR276C	5.34	6.05
YDR277C	0.25	-0.09
YDR278C	0.89	0.13
YDR279W	1.04	1.23
YDR281C	0.56	0.22
YDR282C	0.08	-0.41
YDR283C	0.74	3.56
YDR284C	-0.17	-0.1
YDR285W	-0.31	-0.27
YDR286C	-0.61	-0.66
YDR287W	-0.48	-0.55
YDR289C	0.01	-1.9
YDR290W	-1.04	-2.04
YDR291W	-0.56	-0.96
YDR293C	2.18	-0.08
YDR294C	1.7	1.54
YDR295C	0.26	0.09
YDR296W	0.61	-0.02
YDR297W	0.11	-2.48
YDR298C	0.72	-0.15
YDR300C		
YDR304C	0.89	0.89
YDR305C	0.58	0.98
YDR306C	-0.22	-0.74
YDR307W	1.61	1.97
YDR309C	-0.56	-0.75
YDR310C	0.28	1.7
YDR312W	0.49	0.0
YDR313C	-0.79	-0.11
YDR314C	-0.37	-0.67
YDR315C	0.06	1.97
YDR316W	1.19	0.67
YDR317W	-0.11	0.03
YDR318W	1.79	2.8
YDR319C	0.41	0.22
YDR320C	-1.66	1.2
YDR321W	-0.49	-1.21
YDR322W	-2.04	-1.67
YDR323C	-0.23	4.21
YDR326C	-0.49	-0.6
YDR329C	0.91	2.28
YDR330W	0.04	-0.99
YDR332W	-1.42	-0.59
YDR333C	0.12	-0.44
YDR334W	0.97	1.84
YDR335W	3.65	3.31
YDR336W	-0.25	0.25
YDR337W	0.85	0.71
YDR338C	-0.42	-0.17
YDR340W	0.25	0.19
YDR344C	0.56	0.42
YDR345C	0.0	0.54
YDR346C	0.25	0.9
YDR347W	-1.21	-0.7
YDR348C	1.76	1.42
YDR349C	0.47	-0.85
YDR350C	-0.55	-0.7
YDR351W	-0.84	-1.09
YDR352W	0.1	0.54
YDR354W	3.24	2.25
YDR357C	0.24	-0.59
YDR358W	0.27	0.0
YDR359C	1.36	1.35
YDR360W	2.24	4.22
YDR363W	-0.71	-1.03
YDR363W-A	0.97	2.63
YDR364C	-0.68	-0.97
YDR368W	-0.28	-0.46
YDR369C	0.51	-0.55
YDR370C	-0.91	-2.21
YDR371W	-1.58	-1.83
YDR372C	-0.56	0.27
YDR374C	-0.92	-0.56
YDR375C	-1.84	-2.32
YDR377W	-0.56	-0.9
YDR378C	-0.09	-0.42
YDR379W	0.97	0.49
YDR380W	-1.05	-1.17
YDR382W		
YDR383C	-0.44	-0.8
YDR384C	-1.21	-0.76
YDR385W	-1.32	1.49
YDR386W	0.14	0.3
YDR387C	0.09	-0.1
YDR388W	1.77	1.14
YDR389W	-0.45	0.31
YDR391C	-0.56	-0.73
YDR392W	-0.44	0.03
YDR393W	0.36	0.66
YDR395W	-0.44	-0.89
YDR399W	-0.9	0.25
YDR400W	-0.49	-1.2
YDR401W	-0.61	-0.91
YDR402C	-0.88	-0.92
YDR403W	-1.63	-1.98
YDR405W	-0.37	-0.79
YDR406W	-1.84	-2.11
YDR408C	-1.46	-1.38
YDR409W	-0.62	-0.22
YDR410C	-0.51	-1.21
YDR411C	-0.72	-1.07
YDR414C	-1.54	-1.27
YDR415C	-0.69	-0.69
YDR417C	2.615	3.215
YDR418W	-1.49	-1.79
YDR419W	-0.49	-0.66
YDR420W	-0.4	-0.5
YDR421W	0.04	-0.27
YDR422C	0.25	0.06
YDR423C	-1.11	-1.07
YDR424C	-0.28	-0.24
YDR425W	0.0	-1.17
YDR426C	0.15	-0.59
YDR428C	-0.37	-0.76
YDR430C	0.31	0.34
YDR431W	1.65	2.16
YDR432W		
YDR433W	0.3	0.22
YDR435C	4.35	-0.31
YDR436W	0.11	0.48
YDR438W	-0.11	-0.25
YDR439W	-0.52	-1.43
YDR440W	-1.23	-0.8
YDR441C	0.07	0.02
YDR442W	-0.97	1.53
YDR443C	-1.9	1.94
YDR444W	-0.02	-0.13
YDR445C	-1.37	-1.95
YDR446W	0.19	0.33
YDR447C	0.75	3.24
YDR448W	-0.12	-4.23
YDR450W	0.37	4.41
YDR451C	-0.52	-1.36
YDR452W	0.18	0.44
YDR453C	0.31	0.04
YDR455C	-2.56	5.02
YDR456W	-3.56	3.22
YDR457W	3.6	1.43
YDR458C	0.54	0.48
YDR459C	1.32	2.76
YDR461W	-1.28	-1.03
YDR462W	-0.07	-0.21
YDR463W	0.2	-1.22
YDR465C	0.22	0.64
YDR466W	1.99	-0.49
YDR467C	0.01	-1.01
YDR469W	1.81	0.77
YDR470C		
YDR471W	-1.6	-2.22
YDR475C	-0.28500000000000003	0.285
YDR476C	-0.09	-0.97
YDR477W	0.19	3.97
YDR479C	0.95	1.65
YDR480W	-0.35	-0.49
YDR481C	0.77	-0.27
YDR482C	-0.59	-0.68
YDR483W	-1.01	-0.79
YDR484W	-0.83	-1.21
YDR485C	0.48	4.31
YDR486C	-0.79	2.76
YDR488C	0.25	0.66
YDR490C	0.56	-0.6
YDR491C	-0.37	-0.89
YDR492W	-0.53	-0.38
YDR493W	0.25	0.23
YDR494W	0.7	0.38
YDR495C	-3.69	4.66
YDR496C	0.58	-1.22
YDR497C	0.11	0.42
YDR500C	0.6799999999999999	-0.7999999999999999
YDR501W	-0.54	-0.6
YDR502C	-1.83	-1.83
YDR503C	-0.12	0.25
YDR504C	1.49	0.98
YDR505C	-0.02	0.03
YDR506C	-0.265	-1.08
YDR507C	0.82	-0.75
YDR508C	-0.79	-0.69
YDR509W	-0.35	-0.17
YDR511W	0.71	-0.19
YDR512C	1.315	3.03
YDR513W	-0.22	-0.08
YDR514C	0.5	0.42
YDR515W	1.31	0.84
YDR516C	0.27	0.37
YDR517W	-0.67	0.23
YDR518W	-0.77	-1.43
YDR519W	-0.44	-0.69
YDR521W	0.6	-0.23
YDR522C	-0.09	-1.34
YDR523C		
YDR524C	-1.93	0.16
YDR525W	-0.48	-1.35
YDR525W-A	0.24	-0.22
YDR528W	-0.43	-0.92
YDR529C	1.52	0.27
YDR530C	-0.59	-0.62
YDR532C		
YDR533C	-0.36	-0.73
YDR534C	-0.49	-0.89
YDR535C	0.61	0.3
YDR536W	0.48	-0.54
YDR537C	-1.47	-0.53
YDR538W	0.77	0.14
YDR539W	0.57	0.01
YDR540C	0.09	-0.22
YDR541C	-0.51	-1.64
YEL001C	0.65	0.3
YEL003W	0.41	-0.24
YEL004W	0.42	-0.1
YEL005C	0.56	0.41
YEL006W	-0.28	-1.12
YEL007W	0.3	-1.05
YEL008W	1.81	-0.95
YEL009C	1.72	-1.88
YEL010W	0.35	0.05
YEL011W	0.04	-0.45
YEL012W	-0.35	3.21
YEL013W	4.71	2.91
YEL014C	0.15	-0.53
YEL015W	1.8	0.35
YEL016C	0.51	0.63
YEL017C-A	0.16	0.13
YEL017W	0.14	-0.45
YEL018W	0.06	-1.7
YEL020C	-0.26	-1.34
YEL023C	-2.08	-3.03
YEL024W	1.87	2.78
YEL025C	-2.18	-2.86
YEL027W	-6.27	0.33
YEL028W	-0.41	-0.78
YEL029C		
YEL030W	-0.96	-1.43
YEL031W	-0.96	8.2
YEL033W	1.64	2.87
YEL036C		
YEL037C	0.67	0.04
YEL038W	0.33	0.7
YEL039C	-1.44	-1.6
YEL040W	-0.68	-1.72
YEL041W	-2.13	-1.59
YEL042W	-3.18	-1.25
YEL043W	-1.91	0.02
YEL044W		
YEL045C	-0.24	-0.35
YEL046C	-0.32	-1.1
YEL047C	0.73	0.18
YEL048C	0.21	-0.13
YEL049W	-0.69	-1.35
YEL050C	2.87	3.27
YEL051W	-6.53	0.59
YEL052W	-0.06	-0.45
YEL053C	-1.37	-0.61
YEL054C	1.87	0.38
YEL056W	-1.01	-2.08
YEL057C	-1.53	-1.91
YEL059W	3.18	3.93
YEL060C	1.44	-0.54
YEL061C	1.62	0.43
YEL062W	-2.04	3.7
YEL063C	0.9	-0.53
YEL064C	-0.04	-0.14
YEL065W	0.05	-0.37
YEL066W	-1.14	-1.36
YEL067C	-0.45	-0.66
YEL068C	-0.74	-1.55
YEL071W	-0.35	-0.77
YEL072W	-0.17	-0.24
YER001W	0.66	0.65
YER002W	2.1	1.9
YER004W	0.22	-0.02
YER005W	0.8	2.38
YER007C-A	-0.47	0.05
YER007W	0.07	-0.42
YER010C	0.33	0.34
YER011W	0.0	0.23
YER014C-A	0.34	-0.27
YER014W		
YER016W	0.41	0.95
YER017C		
YER019C-A	-0.6	-0.61
YER019W	-0.65	0.86
YER020W	1.22	-0.08
YER024W	0.89	1.1
YER027C	-0.26	0.62
YER028C	-1.75	-1.7
YER030W	1.94	2.39
YER031C	-1.92	-0.62
YER032W	1.01	0.67
YER033C	0.65	1.61
YER034W	1.05	0.99
YER035W	0.65	0.24
YER037W	-0.1	0.59
YER038W-A	0.5	1.1
YER039C	0.19	0.05
YER039C-A	-1.17	-1.93
YER040W	1.33	-1.68
YER041W	-1.38	-2.35
YER042W	-0.33	-0.99
YER044C	5.73	-0.61
YER044C-A	0.83	1.13
YER045C	0.94	1.28
YER046W	-0.51	-0.58
YER046W-A	-0.49	-0.54
YER047C	1.6	1.98
YER048C	2.38	2.0
YER049W	1.46	2.33
YER050C	-0.24	-0.97
YER051W	1.27	1.71
YER052C	-0.17	-0.36
YER053C	-0.74	-0.97
YER054C	-0.4	-0.71
YER055C	-0.51	-1.02
YER056C	-2.44	-1.41
YER056C-A	-0.41	1.54
YER057C	0.92	0.03
YER058W	-2.11	-1.96
YER059W	1.82	0.28
YER060W	0.38	0.37
YER060W-A	1.36	0.24
YER061C	1.67	0.66
YER062C	0.59	0.93
YER063W	-0.95	-1.04
YER064C	-0.43	-0.55
YER065C	-0.36	-0.66
YER066C-A	0.46	0.67
YER066W	-0.6	-0.94
YER067C-A	-0.4	-1.06
YER067W	0.03	0.22
YER068C-A	-0.88	-1.78
YER068W	-2.07	-2.48
YER069W	-0.44	-0.69
YER070W		
YER071C	-0.35	-0.04
YER072W	-1.35	0.64
YER073W	0.45	-0.13
YER074W	-0.11	3.63
YER075C	0.91	0.11
YER077C	-0.46	0.19
YER078C	0.54	1.49
YER079W	-0.11	0.75
YER080W	0.05	-0.16
YER081W	-0.59	-0.93
YER083C	0.6	1.21
YER084W	-1.27	-1.18
YER085C	-0.97	-1.7
YER086W	-0.7	1.31
YER087C-B	-0.15	-0.36
YER087W	0.57	-2.0
YER088C	1.33	1.96
YER089C	0.11	-0.87
YER090W	0.4	-0.23
YER091C	4.69	-2.09
YER091C-A	-1.89	-2.95
YER092W	1.06	0.21
YER093C-A	1.41	1.65
YER095W	0.98	1.57
YER096W	-1.73	-1.87
YER097W	0.01	-0.27
YER098W	-0.06	-0.21
YER101C	0.1	-0.47
YER103W	0.68	-0.4
YER106W	0.25	0.04
YER110C	1.95	1.11
YER111C	0.11	-1.05
YER113C	-0.31	-0.09
YER114C	1.01	0.76
YER115C	0.18	-0.27
YER116C	-0.79	-0.59
YER117W	-2.13	-1.91
YER118C	-1.23	-1.81
YER119C	-0.69	0.03
YER119C-A	-1.71	0.71
YER120W	-2.19	0.32
YER121W	-0.22	-0.36
YER122C	1.21	0.09
YER123W	1.81	4.74
YER124C	0.04	-0.7
YER128W	0.31	-0.26
YER129W	-0.3	0.78
YER130C	-1.27	-1.59
YER131W	0.22	1.16
YER132C	-0.65	-1.31
YER134C	0.27	-0.32
YER135C	-1.04	-1.22
YER137C	-0.13	-0.28
YER139C	0.67	0.62
YER140W	0.07	0.14
YER141W	0.16	-0.1
YER142C	-0.98	-0.81
YER143W	-0.44	-0.26
YER144C	-2.74	-2.62
YER145C	-0.57	-0.9
YER149C	-0.99	-1.44
YER150W	-1.17	-1.68
YER151C	-4.8	-1.82
YER152C	-0.67	-1.1
YER153C	1.47	1.22
YER154W	-0.11499999999999994	-0.49000000000000005
YER155C	2.31	1.55
YER156C	0.05	-2.01
YER158C	0.27	-0.28
YER161C	2.7	2.11
YER162C	-0.32	0.56
YER163C	-0.03	0.53
YER164W	-0.94	-1.86
YER166W	-0.75	-1.01
YER167W	1.0	0.8
YER169W	0.88	-0.23
YER170W	0.56	0.04
YER173W	0.43	0.03
YER174C	0.38	0.1
YER175C	1.58	1.49
YER176W	1.63	2.17
YER177W	-0.06	-1.61
YER178W	-2.56	-2.58
YER179W	0.16	-0.48
YER180C	-0.19	-0.52
YER181C	-0.54	-0.14
YER182W	-0.51	-0.34
YER183C	-0.56	-0.97
YER184C	0.88	0.76
YER185W	0.37	0.44
YER186C	0.69	1.22
YER187W	0.44	0.61
YER188W	-0.19	-1.44
YFL001W	3.67	1.0
YFL003C	-0.06	-0.26
YFL004W	0.44	-1.89
YFL007W	1.4100000000000001	1.825
YFL010C	-0.86	-1.13
YFL010W-A	-0.43	-0.48
YFL011W	-0.63	-0.64
YFL012W	3.38	6.15
YFL012W-A	-0.15	-0.47
YFL013C	0.1	-0.74
YFL014W	-0.99	0.49
YFL015C	0.58	1.57
YFL016C		
YFL018C	-0.39	0.55
YFL019C	-1.38	-1.0
YFL020C	0.21	0.74
YFL021W	0.19	-1.0
YFL023W	1.88	0.89
YFL025C	0.2	-0.71
YFL026W	0.49	0.2
YFL027C	-0.23	-0.62
YFL028C	1.15	0.42
YFL030W	0.04	-0.27
YFL031W	-0.27	-0.36
YFL032W	-0.04	0.12
YFL033C	-1.7850000000000001	-1.495
YFL034C-A	-0.35	-1.0
YFL034W	1.68	0.95
YFL036W	0.92	0.87
YFL040W	-0.43	-0.16
YFL041W	-0.95	-1.17
YFL042C	-0.255	-0.46
YFL044C	-0.32	-0.45
YFL046W	-0.7	-1.15
YFL047W	-0.21	-0.27
YFL048C	-0.39	-1.27
YFL049W	-0.54	-1.52
YFL050C	-0.12	-0.34
YFL051C	0.41	0.24
YFL052W	-0.4	-0.4
YFL053W	0.51	0.89
YFL054C	0.51	0.21
YFL055W	-1.49	-1.54
YFL063W	-0.49	-1.16
YFR001W		
YFR006W	-0.11	-0.96
YFR007W	0.12	-0.37
YFR008W	-0.95	-1.18
YFR009W	0.31	0.07
YFR010W	0.13	2.08
YFR011C	-1.01	-1.32
YFR012W	-0.51	-0.87
YFR013W	-0.43	0.12
YFR014C	-0.47	-0.84
YFR015C	-0.87	-1.31
YFR016C	0.14	-0.35
YFR017C	0.05	0.04
YFR018C	-1.24	-1.85
YFR019W		
YFR020W	-0.51	-1.16
YFR021W	2.44	-2.6
YFR022W	-0.54	-1.16
YFR023W	0.28	-0.64
YFR024C-A	0.36	-1.105
YFR025C	-0.54	-1.14
YFR026C	-0.86	-1.09
YFR030W	0.06	-1.3
YFR031C-A	1.83	2.94
YFR032C	0.27	-0.97
YFR032C-A	6.07	2.06
YFR033C	1.01	0.71
YFR034C	-1.37	-2.47
YFR035C	-0.52	-1.61
YFR036W	-0.04	-1.45
YFR038W	-0.13	-1.25
YFR039C	-0.6	-1.52
YFR040W	-0.92	-1.43
YFR041C	-0.66	-2.06
YFR043C	-2.5	-0.59
YFR044C	-1.18	-1.08
YFR045W	-0.7	-1.16
YFR046C	0.44	0.32
YFR047C	0.5	-0.05
YFR048W	-0.73	-0.99
YFR049W	-0.1	-0.31
YFR053C	-0.51	-0.56
YFR054C	-1.02	-1.41
YFR055W	-1.01	-1.68
YFR056C	-1.49	-1.79
YFR057W	-0.92	-1.37
YGL002W	-0.39	-0.8
YGL003C	1.75	-0.59
YGL004C	-0.04	-0.42
YGL005C	-1.04	-0.44
YGL006W	-0.56	-5.18
YGL007W	-1.37	-0.81
YGL009C	-0.22	-1.52
YGL010W	-0.32	-0.79
YGL012W	1.08	1.01
YGL013C	-0.05	-0.09
YGL014W	-0.59	-0.91
YGL015C	-0.26	-0.23
YGL016W	1.42	0.61
YGL017W	-0.38	-0.75
YGL019W	0.67	-0.05
YGL020C	1.5	1.31
YGL021W	-2.25	-2.09
YGL023C	-0.06	-0.52
YGL024W	1.66	-1.51
YGL025C	1.2	2.52
YGL026C	5.21	0.37
YGL027C	-0.03	1.68
YGL028C	0.12	-0.34
YGL029W	2.68	1.48
YGL031C	-2.49	-3.74
YGL032C	1.08	-2.35
YGL033W	3.85	2.2
YGL034C	0.44	1.09
YGL035C	-1.81	-1.06
YGL036W	-0.26	-0.13
YGL037C	-0.72	-0.21
YGL038C		
YGL039W	-0.13	0.53
YGL041C	-0.37	-0.09
YGL042C	1.39	1.4
YGL043W	2.88	2.78
YGL045W	1.16	-0.865
YGL049C	1.25	0.32
YGL050W	-1.38	-0.76
YGL051W	-2.12	-2.18
YGL053W	-0.15	-0.42
YGL054C	1.7	1.87
YGL056C	-0.06	0.23
YGL057C	0.45	0.35
YGL058W	0.24	-1.78
YGL059W	-0.79	-0.33
YGL060W	0.03	0.01
YGL062W	-0.93	-0.45
YGL063W	-0.64	-0.12
YGL064C	0.22	-0.41
YGL066W	0.44	0.16
YGL067W	-0.86	-0.53
YGL070C		
YGL071W	-0.33	-0.84
YGL072C	1.41	1.15
YGL076C		
YGL077C	1.6	1.37
YGL078C	0.2	0.62
YGL079W	0.42	-0.14
YGL080W	2.75	1.05
YGL081W	-0.56	-0.16
YGL082W	0.82	0.45
YGL083W	0.12	1.23
YGL084C	3.81	1.14
YGL085W	0.07	0.84
YGL086W	-0.75	-0.33
YGL087C	-1.53	-1.72
YGL088W	-0.23	-0.34
YGL089C	1.57	2.07
YGL090W	-0.02	0.14
YGL094C	-1.21	-0.4
YGL095C		
YGL096W	0.43	0.96
YGL101W	0.06	0.31
YGL104C	-0.87	-0.28
YGL105W	0.83	1.23
YGL107C	0.06	-0.17
YGL108C	0.14	0.51
YGL109W	0.62	0.85
YGL110C	-0.22	0.02
YGL114W	-1.48	-1.79
YGL115W	0.17	2.97
YGL117W	-0.45	0.13
YGL118C	-0.21	-0.28
YGL121C	-0.73	-0.42
YGL124C	-1.51	2.81
YGL125W	3.34	-2.0
YGL126W	-0.72	0.42
YGL127C	4.39	0.7
YGL129C		
YGL131C	-0.62	-0.6
YGL132W	-0.44	-0.13
YGL133W	-1.66	-2.27
YGL135W		
YGL136C	0.86	-0.35
YGL138C	-1.54	-1.72
YGL139W	-0.67	-0.21
YGL140C	-1.1	-1.07
YGL141W	-0.78	-1.07
YGL143C	0.21	0.21
YGL144C	-1.24	-1.23
YGL146C	-1.23	-1.17
YGL147C	-1.12	0.15
YGL148W	-0.96	-2.05
YGL149W	0.8	1.68
YGL151W	-1.43	-0.58
YGL152C	-0.38	0.5
YGL153W	-0.14	0.68
YGL154C	-0.97	-1.42
YGL156W	-1.97	-1.92
YGL157W	-2.33	-2.42
YGL158W	-1.45	-1.29
YGL159W	-0.46	-0.88
YGL160W	-1.09	-1.05
YGL161C	-1.04	-1.3
YGL162W	-0.43	-0.71
YGL163C	1.44	2.15
YGL164C	-0.77	-1.12
YGL165C	-0.92	-1.14
YGL166W	-0.77	-1.29
YGL167C	-1.83	0.54
YGL168W		
YGL170C	0.0	-0.41
YGL173C	1.28	2.76
YGL174W	-1.03	-1.43
YGL175C	1.87	1.57
YGL176C	-0.35	-0.72
YGL177W	-0.07	0.24
YGL179C	0.82	1.01
YGL180W	1.08	-2.55
YGL181W	-1.2	-1.75
YGL194C	1.11	1.09
YGL195W	0.66	3.86
YGL196W	-1.27	-1.44
YGL197W	3.32	2.08
YGL198W	-0.36	-0.58
YGL199C	0.16500000000000004	0.86
YGL200C	1.59	0.52
YGL202W	-0.1	0.13
YGL203C	-0.11	0.36
YGL205W	0.31	0.72
YGL206C		
YGL208W	-0.28	0.02
YGL209W	0.98	0.9
YGL210W	0.31	0.08
YGL211W	-2.22	-1.49
YGL212W	-3.15	8.49
YGL213C	1.28	1.97
YGL214W	2.15	2.33
YGL215W	1.88	1.16
YGL216W	0.78	0.38
YGL217C	1.895	1.92
YGL218W	0.5	-1.13
YGL219C	4.08	6.49
YGL220W	0.29	0.3
YGL221C	2.21	2.85
YGL222C	1.06	0.58
YGL223C		
YGL224C	0.07	0.35
YGL226C-A	1.22	1.21
YGL226W	1.29	1.89
YGL227W	0.02	3.43
YGL228W	-0.03	-0.11
YGL229C	-0.54	-0.92
YGL230C	-0.02	-0.45
YGL231C	-0.21	-1.4
YGL232W	3.32	3.47
YGL234W	1.34	1.06
YGL235W	0.845	1.37
YGL236C	0.04	0.29
YGL237C	-1.05	-1.39
YGL240W		
YGL241W	1.49	1.63
YGL242C	1.29	0.8
YGL243W	1.2	1.61
YGL244W	1.05	1.01
YGL246C		
YGL248W	-0.56	-0.26
YGL249W	0.25	-0.03
YGL250W	-0.45	-0.04
YGL251C	-1.38	-1.72
YGL252C	-0.5	1.25
YGL253W	-0.08	-0.52
YGL254W	0.01	-0.18
YGL255W	0.51	0.59
YGL256W	2.0	2.64
YGL257C	1.3	1.12
YGL258W	-0.62	-0.26
YGL259W	-0.21	-0.12
YGL260W	-0.25	-0.26
YGL261C	-1.07	-1.06
YGL262W	-1.47	-1.78
YGL263W	-1.86	-2.23
YGR001C	-0.35	-0.61
YGR003W	0.63	0.21
YGR004W	0.71	1.15
YGR006W		
YGR007W	-0.18	-0.26
YGR008C	-0.15	-0.44
YGR010W	-0.33	-0.54
YGR011W	0.27	0.255
YGR012W	0.83	1.0
YGR014W	-1.17	-0.99
YGR015C	-0.89	-1.05
YGR016W	-0.66	-0.74
YGR017W	-2.03	-1.88
YGR018C	-0.45	-0.53
YGR019W	-1.21	-1.8
YGR020C	-1.63	-2.5
YGR021W	-0.55	-1.41
YGR022C	-0.435	-0.52
YGR023W	-1.28	-1.96
YGR025W	0.015000000000000013	-0.08999999999999997
YGR026W	-0.07	-0.15
YGR027C	-0.51	1.83
YGR028W	-0.06	0.44
YGR031W	-0.63	-1.06
YGR032W	-0.36	0.0
YGR033C	-1.15	-1.47
YGR034W	-0.11	-0.02
YGR035C	-1.53	-1.8
YGR036C	-1.39	-1.88
YGR037C	0.84	-1.27
YGR038W	-1.51	-1.04
YGR039W	-1.9	-2.56
YGR040W	-1.11	-0.72
YGR041W	-1.16	-1.46
YGR042W	0.71	1.18
YGR043C	-1.06	-1.13
YGR044C	-0.7	-0.26
YGR045C	0.09	0.66
YGR049W	0.14	0.63
YGR050C	-1.29	-0.18
YGR051C	-0.77	-0.43
YGR052W	-1.27	-1.11
YGR053C	-0.9400000000000001	-1.09
YGR054W	-0.66	-0.08
YGR055W	-1.23	-1.44
YGR056W	1.71	-0.99
YGR057C	1.49	-0.65
YGR058W	0.85	0.03
YGR059W	-1.15	-1.1
YGR061C	-0.77	-0.96
YGR062C	-1.27	-1.42
YGR063C	-0.35	0.22
YGR064W	-1.86	-1.66
YGR066C	-1.01	-1.13
YGR067C	-1.76	-1.71
YGR068C	0.04	-1.53
YGR069W	-1.56	-1.92
YGR070W	-0.51	-0.24
YGR071C	-1.08	0.6
YGR072W	2.43	1.69
YGR076C	-1.02	-1.69
YGR077C	-1.44	-1.05
YGR078C	3.32	3.45
YGR079W	1.31	1.65
YGR080W	0.48	0.14
YGR081C	-1.65	-1.26
YGR084C	0.3	0.43
YGR085C	3.57	3.5
YGR086C	-2.11	-1.31
YGR087C	0.53	0.75
YGR088W	0.35	0.46
YGR089W	-2.06	0.56
YGR092W	-0.39	2.89
YGR093W	1.01	1.84
YGR096W	0.59	1.01
YGR097W	0.72	-0.26
YGR100W	-2.08	-1.98
YGR101W		
YGR102C	0.89	0.23
YGR104C	-1.57	-2.41
YGR105W	-6.23	0.63
YGR106C	0.06	0.9
YGR107W	0.3	0.22
YGR108W	-0.18	0.25
YGR109C	-0.69	0.08
YGR110W	-0.76	0.42
YGR111W	2.92	1.07
YGR112W	-1.02	-1.07
YGR117C	-0.05	0.93
YGR118W	1.71	2.06
YGR121C	0.67	1.29
YGR122C-A	-0.65	-0.45
YGR122W	0.59	-1.75
YGR123C	0.41	0.83
YGR124W	-0.59	-0.06
YGR125W	-0.28	-2.53
YGR126W	0.11	-0.03
YGR127W	-0.19	-0.17
YGR129W	-2.36	1.92
YGR130C	0.44	0.12
YGR131W	0.07	-0.84
YGR132C	0.15	0.08
YGR133W	0.61	1.77
YGR134W	0.61	1.12
YGR135W	0.41	-1.15
YGR136W	0.18	0.27
YGR137W	-0.04	0.01
YGR138C	0.54	0.43
YGR139W	-0.2	-0.94
YGR141W	-0.79	-0.66
YGR142W	-0.36	-0.19
YGR143W	0.2	0.19
YGR144W	-0.96	-0.9
YGR146C	1.42	0.92
YGR148C	-1.47	-1.95
YGR149W	1.19	0.47
YGR150C	0.38	0.12
YGR151C	0.95	0.35
YGR152C	0.64	0.47
YGR153W	-0.48	-0.86
YGR154C	0.59	0.04
YGR155W	1.18	2.01
YGR157W	0.3	-0.35
YGR159C	-0.56	-0.59
YGR160W	-0.86	-1.92
YGR161C	-0.36	0.89
YGR162W	3.4	3.62
YGR163W	-0.61	-1.54
YGR164W	-0.64	-0.62
YGR165W	0.58	0.13
YGR166W	0.37	1.08
YGR167W	0.8	1.56
YGR168C	1.3	1.5
YGR169C	-0.47	-0.45
YGR170W	1.59	1.49
YGR171C	-0.33	-0.49
YGR173W	-0.41	-0.35
YGR174C	-1.07	-1.54
YGR176W	-1.23	-0.47
YGR177C	-1.44	-1.44
YGR178C	-0.72	0.04
YGR180C		
YGR181W	-0.71	-0.89
YGR182C	-0.88	-0.82
YGR183C	0.34	0.79
YGR184C	0.72	-0.17
YGR187C	0.79	1.7
YGR188C	-1.59	-1.6
YGR189C	-0.22	-0.42
YGR192C	0.15	0.07
YGR193C	-1.33	-0.32
YGR194C	-0.76	-0.53
YGR196C	-1.04	-1.31
YGR197C	-0.39	-0.56
YGR199W	-0.46	-0.74
YGR200C	5.2	4.08
YGR201C	1.06	0.81
YGR202C	-0.3	-0.59
YGR203W	-1.1	-1.46
YGR204W	6.15	1.65
YGR205W	-0.51	-0.4
YGR206W	-0.2	0.8
YGR207C	0.05	0.11
YGR208W	-2.22	1.8
YGR209C	-2.37	-2.31
YGR210C	-0.54	0.19
YGR212W	0.17	-0.32
YGR213C	0.26	0.19
YGR214W	5.97	9.41
YGR215W	-0.38	-0.97
YGR217W	-0.63	-1.43
YGR219W	-0.43	-0.74
YGR220C	2.01	2.3
YGR221C	-0.79	-0.91
YGR222W	-0.62	-0.81
YGR223C	2.24	-1.28
YGR224W	-0.29	-0.21
YGR225W	0.19	0.42
YGR226C	-1.02	-1.46
YGR227W	0.77	0.27
YGR228W	-0.51	-0.53
