Table1 Genes in which deletion resulting in sensitivity to ethanol (10% (v/v))							
#	ORF	Gene name	Description				
1	YBL006C		Hypothetical protein				
2	YBL058W	SHP1	Putative regulatory subunit for Glc7p				
3	YBR029C	CDS1	Phosphatidate cytidylyltransferase (CDP-diglyceride synthetase)				
4	YBR036C	CSG2	Endoplasmic reticulum membrane protein 				
5	YBR127C	VMA2/ VAT2	Vacuolar ATPase V1 domain subunit B (60 kDa)				
6	YBR173C	UMP1	20S proteasome maturation factor				
7	YBR179C	FZO1	Mitochondrial integral membrane protein				
8	YBR200W	BEM1	Protein contains two SH3 domains				
9	YBR279W	PAF1	RNA polymerase II-associated protein				
10	YCL007C	CWH36	Involved in cell wall biogenesis				
11	YCL008C	STP22	Component of the ESCRT-I complex				
12	YCL029C	BIK1	Microtubule-binding protein				
13	YCR020W-B	HTL1	High-temperature lethal				
14	YCR028C	FEN2	Amino acid permease				
15	YCR077C	PAT1	Necessary for accurate chromosome transmission during cell				
16	YDL013W	HEX3	involved in hexose metabolism				
17	YDL040C	NAT1	N-terminal acetyltransferase				
18	YDL066W	IDP1	Mitochondrial form of NADP-specific isocitrate dehydrogenase				
19	YDL160C	DHH1	(putative) DEAD box RNA helicase				
20	YDL185W	VMA1/ TFP1	Vacuolar ATPase V1 domain subunit A (69 kDa)				
21	YDL225W	SHS1	Septin homolog				
22	YDR007W	TRP1	n-(5'-phosphoribosyl)-anthranilate isomerase				
23	YDR008C		Questionable ORF				
24	YDR017C	KCS1	Shows homology to basic leucine zipper family of transcription factors				
25	YDR027C	LUV1	Involved in vacuole biogenesis				
26	YDR069C	DOA4	Ubiquitin isopeptidase				
27	YDR080W	VPS41	Component of vacuolar membrane protein complex				
28	YDR129C	SAC6	Fibrim homolog (actin-filament bundling protein)				
29	YDR138W	HPR1	Involved in mitosis, recombination; similar to TOP1 across 2 regions				
30	YDR149C		Questionable ORF				
31	YDR173C	ARG82	IP3 6-/IP4 3-kinase				
32	YDR207C	UME6	Ume6p is a C6 zinc finger URS1-binding protein				
33	YDR264C	AKR1	Ankyrin repeat-containing protein				
34	YDR293C	SSD1	Putative protein phosphatase				
35	YDR354W	TRP4	Anthranilate phosphoribosyl transferase				
36	YDR359C	VID21	Vacuolar import degradation				
37	YDR433W		Questionable ORF				
38	YDR435C	PPM1	Carboxy methyl transferase for protein phosphatase 2A catalytic subunit				
39	YEL003W	GIM4	Bovine prefoldin subunit 2 homolog (putative)				
40	YEL027W	VMA3/ CUP5	Vacuolar ATPase V0 domain subunit c (17 kDa)				
41	YEL044W		Hypothetical protein				
42	YEL051W	VMA8	Vacuolar ATPase V1 domain subunit D				
43	YER005W	YND1	Apyrase (NDPase/NTPase)				
44	YER044C	ERG28	Involved in synthesis of ergosterol				
45	YER083C	RMD7	Required for meiotic nuclear division 				
46	YFL023W	BUD27	Protein involved in bud-site selection				
47	YFL028C	CAF16	ABC ATPase				
48	YFR019W	FAB1	1-phosphatidylinositol-3-phosphate 5-kinase				
49	YGL058W	RAD6	Ubiquitin conjugating (E2) enzyme				
50	YGL070C	RPB9	RNA polymerase II subunit				
51	YGR078C	PAC10	Part of the heteromeric co-chaperone GimC/prefoldin complex				
52	YGR105W	VMA21	Vacuolar H+-ATPase assembly protein				
53	YGR135W	PRE9	Proteasome component Y13				
54	YGR167W	CLC1	Clathrin light chain				
55	YGR188C	BUB1	Serine/threonine protein kinase required for cell cycle arrest				
56	YGR196C		Weak similarity to Tetrahymena acidic repetitive protein arp1				
57	YGR200C	ELP2	90 kD subunit of elongator and elongating RNA pol II holoenzyme				
58	YGR229C	SMI1	57 kDa nuclear protein				
59	YGR270W	YTA7	26S proteasome ATPase				
60	YHL009C	YAP3	Basic leucine zipper (bZIP) transcription factor				
61	YHR008C	SOD2	Manganese-containing superoxide dismutase				
62	YHR013C	ARD1	Subunit of the major N alpha-acetyltransferase; complexes with Nat1p				
63	YHR026W	VMA16/ PPA1	Vacuolar ATPase V0 domain subunit c''				
64	YHR030C	SLT2	Serine/threonine MAP kinase				
65	YHR039C-B	VMA10	Vacuolar H+ ATPase subunit G of the catalytic (V1) sector				
66	YHR041C	SRB2	RNA polymerase II holoenzyme/mediator subunit				
67	YHR167W		Hypothetical protein				
68	YIL036W	CST6	Chromosome STability				
69	YIL090W		Similarity to hypothetical S. pombe protein				
70	YJL095W	BCK1	MEKK serine/threonine kinase				
71	YJL176C	SWI3	Transcription factor				
72	YJL179W	PFD1	Bovine prefoldin subunit 1 homolog (putative)				
73	YJR043C	POL32	third (55 kDa) subunit of DNA polymerase delta				
74	YJR075W	HOC1	Putative mannosyltransferase				
75	YJR090C	GRR1	Cyclin F box protein				
76	YKL037W		Weak similarity to C.elegans ubc-2 protein				
