Table 2 Genes in which deletion resulting in sensitivity to 1-propanol (4% (v/v))							
#	ORF	Gene name	Description				
1	YAL023C	PMT2	Dolichyl phosphate-D-mannose:protein O-D-mannosyltransferase				
2	YAL040C	CLN3	G(sub)1 cyclin				
3	YBL006C		Hypothetical protein				
4	YBL022C	PIM1	Mitochondrial ATP-dependent protease				
5	YBL024W	NCL1	Probable proliferating-cell nucleolar antigen (human p120)				
6	YBL031W		Hypothetical protein				
7	YBL058W	SHP1	Putative regulatory subunit for Glc7p				
8	YBR029C	CDS1	Phosphatidate cytidylyltransferase (CDP-diglyceride synthetase)				
9	YBR127C	VMA2/ VAT2	Vacuolar ATPase V1 domain subunit B (60 kDa)				
10	YBR173C	UMP1	20S proteasome maturation factor				
11	YBR179C	FZO1	Mitochondrial integral membrane protein				
12	YBR279W	PAF1	RNA polymerase II-associated protein				
13	YCL007C	CWH36	Involved in cell wall biogenesis				
14	YCL008C	STP22	Component of the ESCRT-I complex				
15	YCL029C	BIK1	Microtubule-binding protein				
16	YCR020W-B	HTL1	High-temperature lethal				
17	YCR028C	FEN2	Amino acid permease				
18	YCR077C	PAT1	Necessary for accurate chromosome transmission during cell				
19	YDL066W	IDP1	Mitochondrial form of NADP-specific isocitrate dehydrogenase				
20	YDL185W	VMA1/ TFP1	Vacuolar ATPase V1 domain subunit A (69 kDa)				
21	YDL225W	SHS1	Septin homolog				
22	YDR007W	TRP1	n-(5'-phosphoribosyl)-anthranilate isomerase				
23	YDR008C		Questionable ORF				
24	YDR027C	LUV1	Involved in vacuole biogenesis				
25	YDR069C	DOA4	Ubiquitin isopeptidase				
26	YDR129C	SAC6	Fibrim homolog (actin-filament bundling protein)				
27	YDR149C		Questionable ORF				
28	YDR173C	ARG82	IP3 6-/IP4 3-kinase				
29	YDR207C	UME6	Ume6p is a C6 zinc finger URS1-binding protein				
30	YDR264C	AKR1	Ankyrin repeat-containing protein				
31	YDR293C	SSD1	Putative protein phosphatase				
32	YDR300C	PRO1	Gamma-glutamyl kinase				
33	YDR354W	TRP4	Anthranilate phosphoribosyl transferase				
34	YEL003W	GIM4	Bovine prefoldin subunit 2 homolog (putative)				
35	YEL027W	VMA3/ CUP5	Vacuolar ATPase V0 domain subunit c (17 kDa)				
36	YEL044W		Hypothetical protein				
37	YEL051W	VMA8	Vacuolar ATPase V1 domain subunit D				
38	YER005W	YND1	Apyrase (NDPase/NTPase)				
39	YER083C	RMD7	Required for meiotic nuclear division 				
40	YFR019W	FAB1	1-phosphatidylinositol-3-phosphate 5-kinase				
41	YGL058W	RAD6	Ubiquitin conjugating (E2) enzyme				
42	YGL070C	RPB9	RNA polymerase II subunit				
43	YGL084C	GUP1	putative glycerol transporter				
44	YGR105W	VMA21	Vacuolar H+-ATPase assembly protein				
45	YGR135W	PRE9	Proteasome component Y13				
46	YGR196C		Weak similarity to Tetrahymena acidic repetitive protein arp1				
47	YGR200C	ELP2	90 kD subunit of elongator and elongating RNA pol II holoenzyme				
48	YGR229C	SMI1	57 kDa nuclear protein				
49	YHL009C	YAP3	Basic leucine zipper (bZIP) transcription factor				
50	YHR008C	SOD2	Manganese-containing superoxide dismutase				
51	YHR013C	ARD1	Subunit of the major N alpha-acetyltransferase; complexes with Nat1p				
52	YHR026W	VMA16/ PPA1	Vacuolar ATPase V0 domain subunit c''				
53	YHR030C	SLT2	Serine/threonine MAP kinase				
54	YHR167W		Hypothetical protein				
55	YHR183W	GND1	Phosphogluconate Dehydrogenase				
56	YJL095W	BCK1	MEKK serine/threonine kinase				
57	YJL176C	SWI3	Transcription factor				
58	YJL179W	PFD1	Bovine prefoldin subunit 1 homolog (putative)				
59	YJL192C	SOP4	Suppressor of pma1-7				
60	YJR043C	POL32	third (55 kDa) subunit of DNA polymerase delta				
61	YJR075W	HOC1	Putative mannosyltransferase				
62	YJR090C	GRR1	Cyclin F box protein				
63	YKL037W		Weak similarity to C.elegans ubc-2 protein				
64	YKL048C	ELM1	Protein kinase				
65	YKL073W	LHS1	Novel member of the Hsp70 family of molecular chaperones				
66	YKL110C	KTI12	Protein involved in resistance to K. lactis killer toxin				
67	YKL114C	APN1	Major apurinic/apyrimidinic endonuclease/3'-repair diesterase				
68	YKL118W		Questionable ORF				
69	YKL119C	VMA12/ VPH2	25.2 kDa protein involved in assembly of vacuolar H(-) ATPase				
70	YKL212W	SAC1	Integral membrane protein localizing to the ER and Golgi				
71	YKR007W	MEH1/ EGO1	Weak similarity to Streptococcus protein M5 precursor				
72	YLL043W	FPS1	Glycerol channel protein				
73	YLR025W	SNF7	One of four subunits of ESCRT-III				
74	YLR315W	NKP2	Weak similarity to rat apolipoprotein A-IV				
75	YLR331C		Questionable ORF				
76	YLR332W	MID2	Protein required for mating				
77	YLR384C	IKI3	Required for killer toxin sensitivity				
78	YLR386W	VAC14	Similarity to hypothetical S. pombe protein				
79	YLR435W	TSR2	Hypothetical protein				
80	YLR447C	VMA6	Vacuolar ATPase V0 domain subunit d (36 kDa)				
81	YML008C	ERG6	S-adenoslymethionine: delta 24-methyltransferase				
82	YML014W	TRM9	tRNA methyltransferase				
83	YML062C	MFT1	Mitochondrial targeting protein				
84	YML095C-A		Hypothetical protein				
85	YMR003W		Hypothetical protein				
86	YMR060C	TOM37	Mitochondrial import receptor				
87	YMR077C	VPS20	Myristoylated subunit of ESCRT-III				
88	YMR116C	ASC1	G-beta like protein				
89	YMR142C	RPL13B	Ribosomal protein L13B				
90	YMR242C	RPL20A	Ribosomal protein L20A (L18A)				
91	YMR275C	BUL1	Rsp5p ubiquitin ligase binding protein				
92	YMR294W	JNM1	Coiled-coil domain protein required for proper nuclear migration during mitosis				
93	YMR307W	GAS1	Cell surface glycoprotein 115-120 kDa				
94	YMR312W	ELP6	Elongator protein, part of the HAP subcomplex of Elongator				
95	YNL079C	TPM1	Tropomyosin I				
96	YNL080C		Hypothetical protein				
97	YNL098C	RAS2	Small, GTP-binding protein				
98	YNL133C		Hypothetical protein				
99	YNL197C	WHI3	RNA binding protein that binds to and sequesters the G1 cyclin CLN3 mRNA				
100	YNL225C	CNM67	Spindle pole body protein involved in nuclear migration				
101	YNL271C	BNI1	Contains formin homology domains				
102	YNL283C	WSC2	Putative integral membrane protein containing novel cysteine motif				
103	YNL299W	TRF5	Exhibits homology to Trf4p and Top1p				
104	YNL325C	FIG4	Homologous to the ATP/ADP exchanger Sac1p				
105	YOR002W	ALG6	Glucosyltransferase				
106	YOR008C	SLG1	Involved in cell wall integrity and stress response				
107	YOR035C	SHE4	Required for mother cell-specific HO expression				
108	YOR198C	BFR1	Involved in secretion				
109	YOR258W		Hypothetical protein				
110	YOR332W	VMA4	Vacuolar ATPase V1 domain subunit E (27 kDa)				
111	YPL002C	SNF8	Component of the ESCRT-II complex				
112	YPL065W	VPS28	Involved in vacuolar protein targeting				
113	YPL084W	BRO1	Cytoplasmic class E vacuolar protein sorting (VPS) factor 				
114	YPL090C	RPS6A	Ribosomal protein S6A (S10A) (rp9) (YS4)				
115	YPL101W		Hypothetical protein				
116	YPL102C		Questionable ORF				
117	YPL129W	ANC1	Transcription initiation factor TFIIF small subunit				
118	YPR036W	VMA13/ CLS11	Vacuolar ATPase V1 domain subunit H (54 kDa)				
119	YPR101W	SNT309	Component of a protein complex associated with the splicing factor Prp19p				
120	YPR131C	NAT3	N-terminal acetyltransferase				
121	YPR135W	CTF4	DNA polymerase alpha binding protein				
122	YPR139C	VPS66	Cytoplasmic protein of unknown function involved in vacuolar protein sorting				
