orf	hap a | viral RNA replication (DI-72(+) RNA) | standard | None | Panavas T~Nagy PD, 2005
YAL021C	6.044073115908295
YBL006C	3.357818397726831
YBL021C	1.6117528309088789
YBL052C	3.6264438695449774
YBL093C	1.208814623181659
YBR006W	3.2235056618177578
YBR007C	3.492131133635904
YBR032W	4.298007549090343
YCL008C	4.432320284999417
YCR003W	21.758663217269863
YCR081W	4.700945756817563
YCR094W	5.641134908181075
YCR099C	4.96957122863571
YDL013W	3.492131133635904
YDL074C	2.6862547181814644
YDL080C	4.16369481318127
YDR058C	2.6862547181814644
YDR069C	2.9548801899996113
YDR080W	1.8803783027270253
YDR121W	2.417629246363318
YDR123C	3.895069341363124
YDR127W	5.103883964544782
YDR136C	4.16369481318127
YDR176W	3.6264438695449774
YDR207C	5.238196700453856
YDR272W	3.7607566054540507
YDR275W	6.581324059544588
YDR410C	6.4470113236355155
YDR432W	2.8205674540905377
YDR448W	1.0745018872725858
YER083C	4.96957122863571
YER116C	2.9548801899996113
YER124C	3.357818397726831
YFL042C	4.16369481318127
YGL012W	2.417629246363318
YGL058W	3.0891929259086846
YGL076C	25.788045294542062
YGL115W	5.372509436362929
YGL124C	5.641134908181075
YGL135W	25.788045294542062
YGL140C	2.2833165104542448
YGL168W	4.298007549090343
YGL173C	5.372509436362929
YGL205W	3.895069341363124
YGR028W	4.432320284999417
YGR064W	2.1490037745451716
YGR081C	20.28122312227006
YHL025W	2.1490037745451716
YHL031C	3.0891929259086846
YHR012W	2.551941982272391
YHR029C	4.16369481318127
YHR091C	20.549848594088203
YHR104W	4.298007549090343
YIL064W	2.6862547181814644
YIL090W	3.2235056618177578
YIR038C	3.895069341363124
YJL093C	2.0146910386360983
YJL136C	4.432320284999417
YJL175W	1.746065566817952
YJL176C	3.2235056618177578
YJL212C	3.357818397726831
YKL041W	5.909760379999223
YKL043W	4.432320284999417
YKL081W	2.0146910386360983
YKL212W	3.0891929259086846
YKR020W	3.2235056618177578
YKR035W-A	4.029382077272197
YKR069W	4.432320284999417
YLR025W	2.1490037745451716
YLR038C	3.357818397726831
YLR039C	0.6715636795453661
YLR148W	2.2833165104542448
YLR358C	5.238196700453856
YMR054W	2.1490037745451716
YNL032W	6.715636795453662
YNL197C	3.895069341363124
YNL321W	3.895069341363124
YNR051C	2.2833165104542448
YOL004W	0.5372509436362929
YOL018C	1.8803783027270253
YOL081W	3.2235056618177578
YOR078W	24.713543407269476
YOR188W	3.6264438695449774
YOR221C	6.581324059544588
YOR306C	5.372509436362929
YOR337W	3.357818397726831
YPL051W	2.551941982272391
YPL055C	4.029382077272197
YPL065W	2.6862547181814644
YPL161C	2.0146910386360983
YPR050C	1.3431273590907322
YPR051W	2.2833165104542448
YPR087W	2.2833165104542448
YPR160W	4.96957122863571
YPR173C	6.178385851817369
