orf	hom | genome instability (HPHe1-URA3-HPHe2) | camptothecin [10 uM] | YPD + Ade [0.4g/L] | Segura-Wang M~Korbel JO, 2017	hom | genome instability (HPHe1-URA3-HPHe2) | doxorubicin [25 uM] | YPD + Ade [0.4g/L] | Segura-Wang M~Korbel JO, 2017	hom | genome instability (HPHe1-URA3-HPHe2) | hydroxyurea [50 uM] | YPD + Ade [0.4g/L] | Segura-Wang M~Korbel JO, 2017	hom | genome instability (HPHe1-URA3-HPHe2) | methyl methanesulfonate [0.1%] | YPD + Ade [0.4g/L] | Segura-Wang M~Korbel JO, 2017
YAR042W	33.067188631165145	0.0	34.82071786204773	2.2002343996126394
YBL002W	31.02779553154211	30.00212604883781	0.0	0.0
YBR057C	14.910216941083851	23.35838291561185	24.384042426135338	24.4226018357003
YBR066C	18.011957359669164	17.842079899365842	21.54900186789094	33.920280327361525
YBR073W	23.725689709694752	15.571195336102956	0.0	0.0
YBR216C	0.05451283101733733	18.18571639941514	0.0	0.0
YBR222C	22.82039705163875	21.76805591315227	19.357370427917935	22.678130276007426
YBR258C	0.05451283101733733	15.250322296514641	0.0	21.05396709974164
YCL026C-A	0.05451283101733733	12.41976369728916	15.63865900066527	21.111062603740933
YDL182W	6.421243163902985	13.59916311363311	0.0	0.0
YDL188C	0.05451283101733733	0.12918030591533997	9.87970077076678	0.0
YDL230W	6.331570905693328	6.88900117117094	8.233083975638984	0.0
YDR034C	6.6304784330588555	6.502075397738801	0.0	0.0
YDR163W	0.05451283101733733	0.12918030591533997	10.114931741499321	0.0
YDR345C	0.05451283101733733	9.290217000411566	8.703545917104067	6.977886238771514
YDR357C	0.05451283101733733	6.414775464974095	7.193617388753287	7.514646718677014
YDR465C	4.415287031623949	9.753997893224058	0.0	7.728671466993764
YEL012W	0.05451283101733733	14.711228397375798	0.0	0.0
YER037W	0.05451283101733733	10.883440773367429	0.0	15.40502577328788
YGL032C	4.124568751583504	0.12918030591533997	0.0	0.0
YGL087C	5.996794475043942	7.004050011135855	7.425669562584036	0.0
YGL234W	0.05451283101733733	0.12918030591533997	6.639786200543896	0.0
YGL255W	3.1261809740762017	0.12918030591533997	0.0	0.0
YGR068C	0.05451283101733733	6.2183506162535105	0.0	0.0
YGR121C	6.040327673901282	7.203093857839379	8.700409504160966	0.0
YGR260W	0.05451283101733733	6.166659866590199	6.778366130319312	0.0
YHR044C	0.05451283101733733	0.12918030591533997	0.0	12.211300917850151
YHR155W	10.66573005249342	0.12918030591533997	11.734104923374986	0.0
YIL038C	12.080559015356899	0.12918030591533997	11.909516405313715	17.09582128499021
YIL120W	9.638838063318312	0.12918030591533997	9.927482061696823	0.0
YIR013C	12.181618226990004	0.12918030591533997	13.47330621595777	9.70212949637409
YJR001W	2.775337759600951	0.12918030591533997	0.0	0.0
YJR004C	0.05451283101733733	0.12918030591533997	9.686690743499051	0.0
YKL137W	0.05451283101733733	8.60223400754426	6.9164439588998885	11.889950893696202
YKL174C	8.240308973298884	0.12918030591533997	0.0	8.033750603848782
YLR028C	0.05451283101733733	0.12918030591533997	0.0	7.944701801974793
YLR247C	3.1985771929361793	0.12918030591533997	5.7239536211585325	6.76770894242297
YLR445W	1.3177529764311564	6.694030069179263	0.0	0.0
YML074C	1.535147792153534	0.12918030591533997	0.0	0.0
YML100W	0.05451283101733733	0.12918030591533997	5.590838420666473	3.93007385861844
YMR038C	1.781920285676237	6.965221843365504	9.783967236166324	2.5264760519689977
YMR044W	-0.6772952532223899	0.12918030591533997	0.0	0.0
YMR101C	0.05451283101733733	3.1303692735763895	0.0	2.775295663147761
YMR186W	2.4661531086255377	4.579219120033447	8.195660866658802	8.683591763804548
YNL082W	0.05451283101733733	0.12918030591533997	3.1221565206319246	4.294083839244007
YNL253W	-1.7909162509785006	0.12918030591533997	6.906074477702141	0.0
YOL136C	0.7465487367657792	7.766263826279868	7.092725139261659	2.389167570883726
YOR371C	0.05451283101733733	2.967110151492975	1.967609057273244	4.028470405888713
YPL070W	0.05451283101733733	0.12918030591533997	1.2392064540652508	0.0
YPL103C	-2.133367008462267	1.6074291674207817	1.947324427816822	0.0
YPR129W	0.05451283101733733	0.12918030591533997	1.040718840210641	0.0
